PROBE_ID	7677153062_B.VALUE	7677153062_B.Detection Pval
ILMN_1743331	78.32546	0.5051948
ILMN_1775045	100.6838	0.1220779
ILMN_2096322	500.5743	0
ILMN_1688322	599.8443	0
ILMN_2224833	252.1867	0.003896104
ILMN_2358626	148.8771	0.03246753
ILMN_1768062	76.76948	0.6025974
ILMN_2358628	86.40923	0.274026
ILMN_1801020	99.08469	0.1337662
ILMN_1708934	1502.167	0
ILMN_1702933	168.8415	0.02337662
ILMN_1657993	217.4732	0.006493506
ILMN_1666019	163.896	0.02467532
ILMN_2080751	141.8246	0.03766234
ILMN_1690352	137.9955	0.03896104
ILMN_2275396	90.51298	0.2116883
ILMN_2373444	105.9901	0.09090909
ILMN_1747227	124.0324	0.05454545
ILMN_1807372	165.0342	0.02467532
ILMN_1703946	106.2435	0.08961039
ILMN_1733259	101.2018	0.1207792
ILMN_1730710	108.9974	0.08051948
ILMN_1793959	413.8764	0
ILMN_1794512	102.5775	0.112987
ILMN_1795788	70.81889	0.9285714
ILMN_1760335	118.1003	0.06363636
ILMN_1788530	141.4904	0.03766234
ILMN_1811480	179.9033	0.01038961
ILMN_1813598	101.7744	0.1168831
ILMN_1653821	85.31089	0.2909091
ILMN_1780551	77.71115	0.5402597
ILMN_1669227	72.98531	0.8402597
ILMN_1709167	74.90665	0.7220779
ILMN_1679754	103.0167	0.1116883
ILMN_1716421	161.8514	0.02467532
ILMN_1659371	270.5779	0.002597403
ILMN_1677868	87.02804	0.2662338
ILMN_1707445	78.34401	0.5038961
ILMN_1733963	151.2122	0.03116883
ILMN_1804255	73.63089	0.8103896
ILMN_1695590	503.8526	0
ILMN_1694007	77.96514	0.5233766
ILMN_3307926	2749.371	0
ILMN_1673330	106.3619	0.08961039
ILMN_1668900	110.6477	0.07922078
ILMN_2389013	148.1095	0.03246753
ILMN_1760143	414.9932	0
ILMN_1790757	379.4024	0
ILMN_2092664	395.8871	0
ILMN_1778796	205.6417	0.007792208
ILMN_1749804	112.4562	0.07142857
ILMN_1720235	81.69438	0.3909091
ILMN_2240009	85.43411	0.2909091
ILMN_1736178	93.851	0.1727273
ILMN_1803376	173.1629	0.01688312
ILMN_3240321	112.1652	0.07272727
ILMN_1712944	945.4361	0
ILMN_2333107	316.5609	0
ILMN_1707958	89.70847	0.2194805
ILMN_1660424	74.16113	0.7831169
ILMN_1701998	101.1677	0.1207792
ILMN_1651235	82.45799	0.3688312
ILMN_1694140	83.0434	0.3506494
ILMN_1730995	102.5436	0.112987
ILMN_2404917	87.23475	0.2636364
ILMN_1702696	88.36723	0.2454545
ILMN_2084562	75.0242	0.7181818
ILMN_1769563	88.18783	0.2467532
ILMN_1673119	106.1131	0.08961039
ILMN_2129015	201.333	0.007792208
ILMN_1725889	81.97	0.3792208
ILMN_1775235	116.8826	0.06623377
ILMN_1677951	76.80107	0.6
ILMN_1708502	136.0914	0.04025974
ILMN_1705447	161.7456	0.02467532
ILMN_1699172	109.553	0.08051948
ILMN_2409898	76.71761	0.6051948
ILMN_2295698	84.03608	0.3207792
ILMN_2066124	213.6809	0.007792208
ILMN_1777797	74.48289	0.7519481
ILMN_2095653	84.10761	0.3207792
ILMN_1707551	105.3684	0.09220779
ILMN_1782204	73.8499	0.8012987
ILMN_2402766	276.6976	0.002597403
ILMN_1767722	107.6209	0.08181818
ILMN_2342841	210.4381	0.007792208
ILMN_1802631	128.4571	0.05064935
ILMN_2318481	73.82387	0.8038961
ILMN_2245223	94.1325	0.1701299
ILMN_3238543	76.23473	0.625974
ILMN_1735591	148.9863	0.03246753
ILMN_2362126	115.6877	0.06623377
ILMN_2269136	131.8779	0.04545455
ILMN_3239130	217.4953	0.006493506
ILMN_2120103	78.60909	0.4948052
ILMN_3242883	465.2572	0
ILMN_2100055	83.99464	0.3207792
ILMN_1887648	72.88136	0.8415585
ILMN_1688627	81.64994	0.3922078
ILMN_1672767	73.45026	0.8155844
ILMN_2196642	74.47944	0.7519481
ILMN_2308689	141.2836	0.03766234
ILMN_2290776	99.31634	0.1324675
ILMN_1777182	122.875	0.05584415
ILMN_1729777	81.54895	0.3961039
ILMN_1690829	118.0527	0.06363636
ILMN_2257015	134.6663	0.04155844
ILMN_3181215	114.8509	0.06753246
ILMN_3260345	183.964	0.01038961
ILMN_1703228	79.68035	0.4584416
ILMN_1652023	99.6963	0.1298701
ILMN_2064917	275.6406	0.002597403
ILMN_1776153	98.30745	0.1376623
ILMN_1772645	157.7592	0.02467532
ILMN_1775082	83.33805	0.3376623
ILMN_1680343	104.8616	0.09740259
ILMN_2277492	95.28295	0.1584416
