PROBE_ID	7677153059_L.VALUE	7677153059_L.Detection Pval
ILMN_3239130	213.3393	0.005194805
ILMN_2120103	107.6679	0.3402597
ILMN_3242883	338.7286	0
ILMN_2100055	101.3795	0.6025974
ILMN_1887648	97.1118	0.7896104
ILMN_1688627	100.7926	0.6285715
ILMN_1672767	93.57299	0.9233766
ILMN_2196642	102.6951	0.5298702
ILMN_2308689	151.5497	0.02337662
ILMN_2290776	128.7337	0.06753246
ILMN_1777182	122.0224	0.1077922
ILMN_1729777	104.2667	0.4545455
ILMN_1690829	119.3828	0.1311688
ILMN_2257015	146.7175	0.03376623
ILMN_3181215	129.7719	0.06363636
ILMN_3260345	168.6037	0.01298701
ILMN_1703228	114.6637	0.1883117
ILMN_1652023	123.0466	0.0961039
ILMN_2064917	249.4191	0
ILMN_1776153	116.2013	0.1727273
ILMN_1772645	180.7867	0.009090909
ILMN_1775082	99.09335	0.7181818
ILMN_1680343	111.1735	0.2545455
ILMN_2277492	101.4633	0.5961039
ILMN_2371825	203.9627	0.005194805
ILMN_1717468	90.42088	0.9688312
ILMN_2274377	99.05309	0.7194805
ILMN_1750235	104.4974	0.4428571
ILMN_1664006	141.6697	0.04025974
ILMN_1707169	131.9002	0.05974026
ILMN_1779109	92.98711	0.9376624
ILMN_1697790	100.4288	0.6441559
ILMN_1679520	189.2597	0.007792208
ILMN_1732176	160.2473	0.01818182
ILMN_1681081	167.7149	0.01298701
ILMN_2377430	136.7801	0.04805195
ILMN_1661373	93.58845	0.9220779
ILMN_2288175	103.8852	0.4701299
ILMN_1654010	172.987	0.01038961
ILMN_1732672	108.6564	0.3142857
ILMN_1730504	193.6199	0.005194805
ILMN_1662049	143.0487	0.03896104
ILMN_1740752	112.2543	0.2298701
ILMN_1794875	314.5372	0
ILMN_1698209	151.9622	0.02337662
ILMN_3307841	99.17464	0.7142857
ILMN_1814151	99.23338	0.712987
ILMN_2050246	92.94372	0.9376624
ILMN_1728787	149.5013	0.02727273
ILMN_2234605	100.9311	0.6194805
ILMN_1770454	148.8592	0.02727273
ILMN_1770336	99.76466	0.6896104
ILMN_1714253	110.8855	0.2636364
ILMN_1813530	135.381	0.05324675
ILMN_2223922	167.4276	0.01298701
ILMN_1718071	611.6697	0
ILMN_1814327	98.29172	0.7519481
ILMN_2341343	108.4675	0.3207792
ILMN_1775634	103.3057	0.5
ILMN_1802458	194.0818	0.005194805
ILMN_2307656	221.5972	0.002597403
ILMN_1709796	116.3938	0.1675325
ILMN_1783963	94.36445	0.8961039
ILMN_2134801	95.8202	0.8376623
ILMN_1757807	110.8807	0.2649351
ILMN_1673529	307.7563	0
ILMN_1686370	140.402	0.04285714
