PROBE_ID	7677153059_K.VALUE	7677153059_K.Detection Pval
ILMN_1715543	96.68578	0.5454546
ILMN_1739594	112.2807	0.1805195
ILMN_2353978	113.6287	0.1662338
ILMN_1785474	128.4942	0.05454545
ILMN_2188959	118.3821	0.1181818
ILMN_1716237	155.5229	0.01948052
ILMN_1764321	133.9115	0.03896104
ILMN_2156699	96.81242	0.5428572
ILMN_1784756	104.5097	0.312987
ILMN_1728883	104.7051	0.3103896
ILMN_1740265	127.3745	0.05974026
ILMN_1788078	101.6804	0.3844156
ILMN_2252621	100.6391	0.4207792
ILMN_2332250	123.9505	0.07662338
ILMN_1719178	91.43608	0.7116883
ILMN_1679600	117.2277	0.1272727
ILMN_2367070	161.6184	0.01298701
ILMN_1658995	235.2159	0
ILMN_1750158	287.6316	0
ILMN_1668839	103.7533	0.3324675
ILMN_1765767	140.553	0.03376623
ILMN_1685703	98.13988	0.5012987
ILMN_1743396	128.8891	0.05324675
ILMN_1743680	87.45827	0.8285714
ILMN_1669633	308.4864	0
ILMN_2344956	631.1012	0
ILMN_2104830	175.3548	0.01038961
ILMN_2078599	129.024	0.05324675
ILMN_2234343	99.84647	0.4350649
ILMN_1706598	147.6259	0.02987013
ILMN_2306955	136.3182	0.03766234
ILMN_1758323	149.9603	0.02857143
ILMN_1728331	314.9033	0
ILMN_2351906	85.82005	0.8753247
ILMN_1705637	188.495	0.007792208
ILMN_1784203	183.7579	0.009090909
ILMN_1666690	103.7141	0.3337662
ILMN_1654468	166.3845	0.01168831
ILMN_2320277	121.2762	0.0987013
ILMN_2227011	102.9342	0.3532467
ILMN_1730002	97.14119	0.5337662
ILMN_3236756	122.302	0.09090909
ILMN_1716832	100.5704	0.4220779
ILMN_1684585	1170.291	0
ILMN_2360705	233.4902	0
ILMN_1654414	138.2024	0.03376623
ILMN_1666096	139.4059	0.03376623
ILMN_2391458	145.4536	0.03246753
ILMN_2285506	109.6112	0.212987
ILMN_1691714	97.48581	0.5194805
ILMN_1683598	420.8364	0
ILMN_2370882	183.9908	0.009090909
ILMN_2273911	106.3879	0.274026
ILMN_1807914	93.45898	0.6532468
ILMN_1678517	90.65846	0.7350649
ILMN_1705247	377.8285	0
ILMN_1737418	100.6774	0.4181818
ILMN_2278242	81.50439	0.9545454
ILMN_1730025	83.25292	0.9324675
ILMN_2378555	113.9541	0.1571429
ILMN_1661434	94.78555	0.6142857
ILMN_1809623	101.6966	0.3831169
ILMN_1657592	89.04402	0.7844156
ILMN_1765912	105.4546	0.2935065
ILMN_1746128	107.5085	0.2558441
ILMN_1685952	93.09512	0.6662338
ILMN_1662738	95.01298	0.612987
ILMN_1771084	108.5811	0.2298701
ILMN_1791923	104.767	0.3090909
ILMN_1801698	85.10751	0.8948052
ILMN_1766966	105.4386	0.2935065
ILMN_2070792	116.9404	0.1298701
ILMN_1752269	167.41	0.01168831
ILMN_1697510	103.7207	0.3337662
ILMN_2254962	101.9599	0.3805195
ILMN_2336595	304.2065	0
ILMN_1714197	386.3079	0
ILMN_1742859	86.22569	0.8675325
ILMN_1659885	109.4596	0.2142857
ILMN_2125869	115.0874	0.1441558
ILMN_1671703	283.1188	0
ILMN_2152131	8363.007	0
ILMN_1777296	7633.61	0
ILMN_2038777	8742.839	0
ILMN_3246895	99.63331	0.4441558
ILMN_1658660	91.0976	0.7207792
ILMN_1829919	98.70198	0.4831169
ILMN_2053178	6606.805	0
ILMN_1704961	2821.392	0
ILMN_1795325	86.32389	0.864935
ILMN_1749297	284.7085	0
ILMN_2328280	208.6444	0.002597403
ILMN_1657855	204.0049	0.005194805
ILMN_1717900	92.87099	0.6714286
ILMN_1796088	125.8238	0.06623377
ILMN_1704078	79.31915	0.9844156
ILMN_2232177	788.0272	0
ILMN_1654422	121.3209	0.0987013
ILMN_1665691	111.8541	0.1844156
ILMN_1725534	293.8297	0
ILMN_1798254	294.2336	0
ILMN_1792314	238.8391	0
ILMN_1695821	290.5602	0
ILMN_2388605	1509.811	0
ILMN_1657153	458.5556	0
ILMN_2260392	108.8905	0.2233766
ILMN_2346451	93.24078	0.6610389
ILMN_1787513	106.5575	0.2701299
ILMN_1680941	99.89774	0.4350649
ILMN_1652594	139.8838	0.03376623
ILMN_1697585	208.3325	0.002597403
ILMN_1689162	125.3658	0.06623377
ILMN_1815392	181.7597	0.009090909
ILMN_3241416	102.7744	0.3584416
ILMN_1760490	196.514	0.005194805
ILMN_1786544	86.62896	0.8545455
ILMN_1763916	142.6358	0.03376623
ILMN_2243308	186.3226	0.007792208
ILMN_1766723	90.50345	0.7441558
ILMN_1689217	93.10487	0.6649351
ILMN_1670912	122.3637	0.09090909
ILMN_2152711	113.5352	0.1688312
ILMN_1668983	81.29814	0.9571428
ILMN_1824337	92.85013	0.6727273
ILMN_1807493	85.21824	0.8909091
ILMN_3250257	78.61091	0.9896104
ILMN_1683883	113.718	0.1636364
ILMN_1670193	113.8987	0.1597403
ILMN_2319825	125.6973	0.06623377
ILMN_1694233	205.4439	0.002597403
ILMN_1686432	81.66776	0.9506493
ILMN_1697550	179.3306	0.01038961
ILMN_2158705	117.896	0.1233766
ILMN_1803686	275.4554	0
ILMN_1745580	87.4652	0.8285714
ILMN_1745108	83.21397	0.9324675
ILMN_1725043	110.6377	0.2038961
ILMN_2148360	145.6131	0.03116883
ILMN_1718946	288.7288	0
ILMN_1711374	109.358	0.2142857
ILMN_1726266	118.2778	0.1181818
ILMN_1705689	101.908	0.3805195
ILMN_1785393	86.27192	0.8662338
ILMN_2384544	130.6457	0.04675325
ILMN_1756920	446.2865	0
ILMN_1799728	95.81813	0.5792208
ILMN_1751500	111.9262	0.1831169
ILMN_2121068	301.4534	0
ILMN_1765779	111.721	0.1883117
ILMN_2201386	89.9548	0.7623377
ILMN_1682225	103.3957	0.338961
ILMN_1788481	89.46085	0.7766234
ILMN_1713751	610.5305	0
ILMN_1662675	95.27814	0.5987013
ILMN_1737629	83.21526	0.9324675
ILMN_1812112	96.16866	0.5701299
ILMN_3241313	102.854	0.3545454
ILMN_1675210	89.36154	0.7792208
ILMN_1706302	92.37537	0.6883117
ILMN_2351754	98.02956	0.5051948
ILMN_2060086	112.6742	0.1779221
ILMN_1664236	89.23637	0.7818182
ILMN_1664631	109.7929	0.2103896
ILMN_1802100	101.234	0.4012987
ILMN_2194158	92.33203	0.6909091
ILMN_2100871	87.97524	0.8142857
ILMN_1806841	123.8027	0.07792208
ILMN_1798045	91.25671	0.7155844
ILMN_2293012	88.86971	0.7896104
ILMN_1703383	125.7111	0.06623377
ILMN_1651657	97.16641	0.5324675
ILMN_1671297	126.9838	0.05974026
ILMN_1669486	93.67007	0.6467533
ILMN_1795204	104.6052	0.3116883
ILMN_2223911	89.84331	0.7636364
ILMN_1685531	92.82637	0.674026
ILMN_1764554	99.96403	0.4350649
ILMN_2302214	94.3434	0.6207792
ILMN_1783312	103.8841	0.3324675
ILMN_2143210	105.8283	0.2844156
ILMN_1750294	90.1887	0.7519481
ILMN_1708348	764.7381	0
ILMN_1727524	140.3447	0.03376623
ILMN_1716909	100.4733	0.4246753
ILMN_2103107	116.2514	0.1350649
ILMN_1673566	78.4254	0.9896104
ILMN_1751168	87.8649	0.8181818
ILMN_1660970	95.77051	0.5818182
ILMN_1787386	88.84299	0.7896104
ILMN_2286570	86.00889	0.8701299
ILMN_2413732	114.6824	0.151948
ILMN_1873412	115.0492	0.1441558
ILMN_1676452	81.75201	0.9506493
ILMN_2358134	94.57338	0.6194805
ILMN_1683781	95.08235	0.6077922
ILMN_1726247	86.05147	0.8701299
ILMN_1682989	171.7272	0.01038961
ILMN_1739872	90.20271	0.7519481
ILMN_1770152	88.57661	0.8
ILMN_1656171	83.00056	0.9337662
ILMN_1796628	109.1953	0.2155844
ILMN_1811765	94.97968	0.612987
ILMN_1791795	92.51397	0.6844156
ILMN_1787908	87.86324	0.8181818
ILMN_1651717	98.82889	0.4779221
ILMN_1703803	97.87318	0.5090909
ILMN_2092933	102.6284	0.3623376
ILMN_1681886	90.27529	0.7506493
ILMN_1767362	103.3972	0.338961
ILMN_3251322	97.2561	0.5298702
ILMN_2211790	99.63181	0.4441558
ILMN_1672403	91.18948	0.7168831
ILMN_1805543	96.58734	0.5519481
ILMN_1706992	152.6682	0.02597403
ILMN_1684919	105.3421	0.2935065
ILMN_1727084	103.0372	0.3506494
ILMN_1705250	95.69207	0.5844156
ILMN_1722621	106.673	0.2688312
ILMN_1721495	101.7568	0.3818182
ILMN_1798690	109.5186	0.2142857
ILMN_1687035	130.2764	0.04935065
ILMN_1777683	113.2414	0.1714286
ILMN_1762294	111.6815	0.1883117
ILMN_1793040	130.0252	0.05064935
ILMN_3247424	156.515	0.01818182
ILMN_1763000	188.9345	0.007792208
ILMN_1776777	2417.603	0
ILMN_1706963	78.45808	0.9896104
ILMN_2320964	1071.862	0
ILMN_1697628	113.4176	0.1701299
ILMN_2319326	184.4149	0.007792208
ILMN_1657442	95.0713	0.6077922
ILMN_1679797	413.5359	0
ILMN_1749493	104.5435	0.3116883
ILMN_1657139	212.4022	0.001298701
ILMN_3245693	102.136	0.3766234
ILMN_1806275	109.903	0.2077922
ILMN_1659599	103.3059	0.3428572
ILMN_1698777	138.3615	0.03376623
ILMN_1663132	172.3792	0.01038961
ILMN_1700349	125.8811	0.06623377
ILMN_1761309	112.6808	0.1779221
ILMN_2120555	107.9519	0.2454545
ILMN_1742073	102.1439	0.3766234
ILMN_3241894	123.2267	0.08181818
ILMN_1810691	134.0461	0.03896104
ILMN_1676893	231.0907	0
ILMN_2148944	154.5525	0.02207792
ILMN_1708588	100.3526	0.4285714
ILMN_2311674	122.2088	0.09220779
ILMN_1685156	104.2383	0.3233766
ILMN_1655935	327.3817	0
ILMN_1754440	105.3555	0.2935065
ILMN_1654287	140.3651	0.03376623
ILMN_1763344	104.0211	0.3311688
ILMN_1711736	146.9224	0.02987013
