PROBE_ID	7677153059_F.VALUE	7677153059_F.Detection Pval
ILMN_1811598	73.89318	0.9727273
ILMN_1740717	81.41106	0.5428572
ILMN_2136010	79.45501	0.6779221
ILMN_1797912	80.36404	0.6064935
ILMN_1738604	97.36215	0.1155844
ILMN_1691175	126.5137	0.03246753
ILMN_2223359	78.01992	0.7818182
ILMN_1702858	213.781	0.002597403
ILMN_2363634	132.7712	0.02597403
ILMN_1813975	94.2719	0.1480519
ILMN_1743331	78.61385	0.7285714
ILMN_1775045	100.9471	0.09350649
ILMN_2096322	369.5425	0
ILMN_1688322	473.4345	0
ILMN_2224833	246.2804	0
ILMN_2358626	135.0164	0.02337662
ILMN_1768062	79.90046	0.6454545
ILMN_2358628	84.54664	0.3766234
ILMN_1801020	103.913	0.07662338
ILMN_1708934	954.7162	0
ILMN_1702933	152.6817	0.01298701
ILMN_1657993	223.7197	0
ILMN_1666019	170.8361	0.009090909
ILMN_2080751	155.1836	0.01168831
ILMN_1690352	150.8696	0.01558442
ILMN_2275396	95.75706	0.1324675
ILMN_2373444	102.1999	0.08571429
ILMN_1747227	128.9163	0.02727273
ILMN_1807372	156.9559	0.01168831
ILMN_1703946	110.7952	0.05324675
ILMN_1733259	101.8545	0.08701298
ILMN_1730710	130.0785	0.02727273
ILMN_1793959	383.5535	0
ILMN_1794512	104.2301	0.07662338
ILMN_1795788	80.78586	0.5792208
ILMN_1760335	109.2504	0.05974026
ILMN_1788530	119.4315	0.04415584
ILMN_1811480	186.789	0.005194805
ILMN_1813598	96.17159	0.1285714
ILMN_1653821	87.26272	0.2857143
ILMN_1780551	82.62118	0.4545455
ILMN_1669227	80.16908	0.6207792
ILMN_1709167	79.11455	0.6987013
ILMN_1679754	106.8146	0.06623377
ILMN_1716421	141.6068	0.01688312
ILMN_1659371	217.5602	0
ILMN_1677868	83.16146	0.4298701
ILMN_1707445	82.77641	0.4454545
ILMN_1733963	125.1258	0.03246753
ILMN_1804255	84.50482	0.3766234
ILMN_1695590	491.0387	0
ILMN_1694007	85.5025	0.338961
ILMN_3307926	2157.259	0
ILMN_1673330	92.94643	0.161039
ILMN_1668900	99.84657	0.1038961
ILMN_2389013	168.8532	0.009090909
ILMN_1760143	402.4484	0
ILMN_1790757	351.7698	0
ILMN_2092664	379.251	0
ILMN_1778796	212.0509	0.002597403
ILMN_1749804	105.0139	0.07272727
ILMN_1720235	86.40059	0.3038961
ILMN_2240009	81.53105	0.5402597
ILMN_1736178	85.26408	0.3506494
ILMN_1803376	147.6744	0.01688312
ILMN_3240321	116.0525	0.04935065
ILMN_1712944	979.3937	0
ILMN_2333107	419.2709	0
ILMN_1707958	88.80312	0.2363636
ILMN_1660424	80.82366	0.574026
ILMN_1701998	89.32449	0.2311688
ILMN_1651235	79.04366	0.7038961
ILMN_1694140	85.48602	0.338961
ILMN_1730995	104.3607	0.07662338
ILMN_2404917	89.79663	0.2194805
ILMN_1702696	90.18071	0.2116883
ILMN_2084562	85.4903	0.338961
ILMN_1769563	82.39945	0.4675325
ILMN_1673119	102.7555	0.08181818
ILMN_2129015	162.8744	0.01038961
ILMN_1725889	87.12033	0.2909091
ILMN_1775235	98.79066	0.1077922
ILMN_1677951	78.59984	0.7298701
ILMN_1708502	154.5849	0.01298701
ILMN_1705447	163.3629	0.01038961
ILMN_1699172	102.5758	0.08311688
ILMN_2409898	78.59631	0.7298701
ILMN_2295698	86.23734	0.3064935
ILMN_2066124	199.0449	0.003896104
ILMN_1777797	72.4154	0.9831169
ILMN_2095653	81.35783	0.548052
ILMN_1707551	99.15247	0.1038961
ILMN_1782204	78.58624	0.7311688
ILMN_2402766	256.8396	0
ILMN_1767722	103.9715	0.07662338
ILMN_2342841	201.655	0.002597403
ILMN_1802631	130.8571	0.02727273
ILMN_2318481	74.8557	0.9506493
ILMN_2245223	85.79647	0.3246753
ILMN_3238543	79.10531	0.6987013
ILMN_1735591	123.6738	0.03506494
ILMN_2362126	119.5166	0.04415584
ILMN_2269136	117.1881	0.04675325
ILMN_3239130	227.0918	0
ILMN_2120103	85.41458	0.3441558
ILMN_3242883	411.6408	0
ILMN_2100055	81.20412	0.5597402
ILMN_1887648	78.74934	0.7194805
ILMN_1688627	84.47733	0.3766234
ILMN_1672767	82.98587	0.4324675
ILMN_2196642	78.64202	0.7285714
ILMN_2308689	137.8014	0.02207792
ILMN_2290776	96.66935	0.125974
ILMN_1777182	108.926	0.05974026
ILMN_1729777	86.72202	0.3012987
ILMN_1690829	102.3086	0.08571429
ILMN_2257015	131.9634	0.02597403
ILMN_3181215	120.5549	0.04285714
ILMN_3260345	157.9985	0.01168831
ILMN_1703228	91.01305	0.1987013
ILMN_1652023	96.57096	0.1272727
ILMN_2064917	271.8514	0
ILMN_1776153	96.65699	0.125974
ILMN_1772645	150.0878	0.01688312
ILMN_1775082	86.56603	0.3025974
ILMN_1680343	100.6116	0.09740259
ILMN_2277492	90.9661	0.1987013
ILMN_2371825	244.231	0
ILMN_1717468	84.49048	0.3766234
ILMN_2274377	81.10513	0.5636364
ILMN_1750235	77.76128	0.8025974
ILMN_1664006	107.7447	0.06103896
ILMN_1707169	112.2525	0.05194805
ILMN_1779109	72.62395	0.9831169
ILMN_1697790	84.02764	0.3909091
ILMN_1679520	167.8238	0.009090909
ILMN_1732176	137.1485	0.02207792
ILMN_1681081	132.9554	0.02597403
ILMN_2377430	125.5214	0.03246753
ILMN_1661373	82.78131	0.4454545
ILMN_2288175	80.00758	0.6415585
ILMN_1654010	164.3412	0.01038961
ILMN_1732672	87.59621	0.2714286
