PROBE_ID	7677153062_E.VALUE	7677153062_E.Detection Pval
ILMN_1787513	88.49395	0.2051948
ILMN_1680941	83.88146	0.2727273
ILMN_1652594	122.1094	0.05064935
ILMN_1697585	201.9731	0.006493506
ILMN_1689162	93.33192	0.1467533
ILMN_1815392	168.1733	0.01428571
ILMN_3241416	71.82212	0.725974
ILMN_1760490	231.6691	0.003896104
ILMN_1786544	85.31887	0.2454545
ILMN_1763916	97.02912	0.1233766
ILMN_2243308	170.2263	0.01428571
ILMN_1766723	82.86385	0.287013
ILMN_1689217	82.62118	0.2922078
ILMN_1670912	82.51707	0.2922078
ILMN_2152711	109.7095	0.07402597
ILMN_1668983	70.32114	0.8272727
ILMN_1824337	81.96275	0.3051948
ILMN_1807493	75.30287	0.5402597
ILMN_3250257	80.18178	0.3545454
ILMN_1683883	84.49417	0.2623377
ILMN_1670193	108.5608	0.07792208
ILMN_2319825	108.9047	0.07662338
ILMN_1694233	231.6145	0.003896104
ILMN_1686432	73.37574	0.6181818
ILMN_1697550	174.507	0.01298701
ILMN_2158705	106.4234	0.08441558
ILMN_1803686	160.2709	0.01818182
ILMN_1745580	68.01128	0.9220779
ILMN_1745108	70.17132	0.8350649
ILMN_1725043	91.36388	0.1701299
ILMN_2148360	123.2605	0.05064935
ILMN_1718946	310.6611	0
ILMN_1711374	82.58263	0.2922078
ILMN_1726266	73.39323	0.6155844
ILMN_1705689	74.88325	0.5519481
ILMN_1785393	74.44604	0.5636364
ILMN_2384544	114.2239	0.06103896
ILMN_1756920	349.7687	0
ILMN_1799728	96.03985	0.1298701
ILMN_1751500	81.69073	0.3116883
ILMN_2121068	323.9952	0
ILMN_1765779	92.43031	0.1558442
ILMN_2201386	68.31933	0.9090909
ILMN_1682225	69.22566	0.8766234
ILMN_1788481	99.41167	0.1064935
ILMN_1713751	858.9598	0
ILMN_1662675	74.95357	0.5519481
ILMN_1737629	74.87829	0.5519481
ILMN_1812112	79.18697	0.3831169
ILMN_3241313	73.28095	0.6246753
ILMN_1675210	68.84602	0.8935065
ILMN_1706302	72.78253	0.6558442
ILMN_2351754	72.12664	0.7025974
ILMN_2060086	91.98518	0.1584416
ILMN_1664236	82.54781	0.2922078
ILMN_1664631	101.8917	0.0987013
ILMN_1802100	76.06985	0.4909091
ILMN_2194158	79.54628	0.374026
ILMN_2100871	78.25783	0.412987
ILMN_1806841	107.8807	0.07922078
ILMN_1798045	72.76435	0.6558442
ILMN_2293012	69.94372	0.848052
ILMN_1703383	112.7242	0.06493507
ILMN_1651657	85.90335	0.2337662
ILMN_1671297	115.9672	0.05844156
ILMN_1669486	72.20566	0.6974026
ILMN_1795204	92.19583	0.1558442
ILMN_2223911	73.81776	0.5909091
ILMN_1685531	68.39951	0.9051948
ILMN_1764554	72.17874	0.7
ILMN_2302214	81.41011	0.3155844
ILMN_1783312	72.66724	0.6636364
ILMN_2143210	71.51294	0.7454545
ILMN_1750294	73.01256	0.6415585
ILMN_1708348	628.6187	0
ILMN_1727524	144.6407	0.02857143
ILMN_1716909	75.13364	0.5467532
ILMN_2103107	127.6095	0.04805195
ILMN_1673566	78.09542	0.4155844
ILMN_1751168	76.26244	0.4883117
ILMN_1660970	80.89044	0.3285714
ILMN_1787386	68.93406	0.887013
ILMN_2286570	79.73483	0.3675325
ILMN_2413732	73.4829	0.6077922
ILMN_1873412	94.66493	0.138961
ILMN_1676452	76.90476	0.4636364
ILMN_2358134	75.47942	0.5311688
ILMN_1683781	78.54349	0.4051948
ILMN_1726247	76.59927	0.4766234
ILMN_1682989	177.6552	0.01298701
ILMN_1739872	78.11139	0.4155844
ILMN_1770152	68.35934	0.9090909
ILMN_1656171	71.0518	0.7792208
ILMN_1796628	78.30414	0.412987
ILMN_1811765	79.7458	0.3662338
ILMN_1791795	64.02169	0.9987013
ILMN_1787908	75.55432	0.5285714
ILMN_1651717	81.52546	0.3142857
ILMN_1703803	72.62617	0.6675324
ILMN_2092933	81.13901	0.3220779
ILMN_1681886	75.33263	0.5389611
ILMN_1767362	72.85328	0.6532468
ILMN_3251322	70.24787	0.8337662
ILMN_2211790	73.72773	0.5961039
ILMN_1672403	73.7336	0.5948052
ILMN_1805543	86.51043	0.2285714
ILMN_1706992	148.0813	0.02727273
