PROBE_ID	7677153059_J.VALUE	7677153059_J.Detection Pval
ILMN_1762294	96.75079	0.08701298
ILMN_1793040	110.6452	0.04935065
ILMN_3247424	138.9311	0.02987013
ILMN_1763000	199.204	0.005194805
ILMN_1776777	2690.798	0
ILMN_1706963	73.75021	0.548052
ILMN_2320964	725.9085	0
ILMN_1697628	97.93995	0.08181818
ILMN_2319326	156.9016	0.01558442
ILMN_1657442	83.11066	0.2233766
ILMN_1679797	448.0028	0
ILMN_1749493	70.25587	0.7545455
ILMN_1657139	219.7408	0.002597403
ILMN_3245693	78.80158	0.3220779
ILMN_1806275	93.19968	0.1116883
ILMN_1659599	96.37665	0.08961039
ILMN_1698777	109.552	0.04935065
ILMN_1663132	139.5402	0.02857143
ILMN_1700349	123.6608	0.03896104
ILMN_1761309	87.59096	0.1636364
ILMN_2120555	81.53139	0.2519481
ILMN_1742073	66.79721	0.9168831
ILMN_3241894	97.93331	0.08181818
ILMN_1810691	99.87891	0.07272727
ILMN_1676893	235.4412	0.001298701
ILMN_2148944	124.5624	0.03896104
ILMN_1708588	73.55295	0.5597402
ILMN_2311674	81.03388	0.2649351
ILMN_1685156	78.33719	0.3350649
ILMN_1655935	317.7931	0
ILMN_1754440	82.03673	0.2441558
ILMN_1654287	101.5452	0.06623377
ILMN_1763344	75.58397	0.4532467
ILMN_1711736	116.9777	0.04415584
ILMN_2356786	209.9504	0.003896104
ILMN_1759252	1992.192	0
ILMN_1678791	78.55998	0.3285714
ILMN_2336146	70.06188	0.7662337
ILMN_2286339	82.46461	0.2324675
ILMN_1694133	72.95634	0.5805195
ILMN_1678501	75.36198	0.4662338
ILMN_1787378	912.8302	0
ILMN_1814526	1415.233	0
ILMN_2311278	528.7963	0
ILMN_1764309	114.9213	0.04415584
ILMN_1811598	68.15715	0.8727273
ILMN_1740717	75.35076	0.4675325
ILMN_2136010	71.45669	0.6792208
ILMN_1797912	68.66347	0.8415585
ILMN_1738604	85.44436	0.1922078
ILMN_1691175	125.0642	0.03896104
ILMN_2223359	78.62225	0.3272727
ILMN_1702858	240.3082	0.001298701
ILMN_2363634	141.6728	0.02467532
ILMN_1813975	80.07112	0.287013
ILMN_1743331	73.11633	0.5727273
ILMN_1775045	96.05278	0.09350649
ILMN_2096322	525.3318	0
ILMN_1688322	505.3819	0
ILMN_2224833	283.8649	0
ILMN_2358626	168.2529	0.01038961
ILMN_1768062	74.29092	0.5207792
ILMN_2358628	76.80341	0.3831169
ILMN_1801020	96.19675	0.09090909
ILMN_1708934	885.8512	0
ILMN_1702933	149.5298	0.02077922
ILMN_1657993	264.8319	0
ILMN_1666019	161.3109	0.01298701
ILMN_2080751	151.5219	0.02077922
ILMN_1690352	168.8781	0.01038961
ILMN_2275396	84.32275	0.2025974
ILMN_2373444	100.7056	0.07012987
ILMN_1747227	130.9498	0.03246753
ILMN_1807372	155.3386	0.01688312
ILMN_1703946	94.87869	0.1025974
ILMN_1733259	93.52489	0.1116883
ILMN_1730710	92.35975	0.1142857
ILMN_1793959	406.651	0
ILMN_1794512	95.50094	0.0948052
ILMN_1795788	69.25912	0.8051948
ILMN_1760335	102.7257	0.06493507
ILMN_1788530	108.4111	0.05454545
ILMN_1811480	192.0372	0.005194805
ILMN_1813598	92.76183	0.112987
ILMN_1653821	79.7905	0.2922078
ILMN_1780551	78.33666	0.3350649
ILMN_1669227	67.54744	0.8961039
ILMN_1709167	74.65214	0.5051948
ILMN_1679754	88.94025	0.1441558
ILMN_1716421	133.2299	0.03116883
ILMN_1659371	223.2891	0.002597403
ILMN_1677868	81.30036	0.2584416
ILMN_1707445	68.07629	0.874026
ILMN_1733963	138.4692	0.02987013
ILMN_1804255	73.34038	0.5701299
ILMN_1695590	761.3611	0
ILMN_1694007	71.91154	0.6415585
ILMN_3307926	2805.287	0
ILMN_1673330	80.87333	0.2688312
ILMN_1668900	101.7479	0.06623377
ILMN_2389013	155.0398	0.01688312
ILMN_1760143	480.1869	0
ILMN_1790757	357.1035	0
ILMN_2092664	377.9888	0
ILMN_1778796	236.7233	0.001298701
ILMN_1749804	105.9298	0.05974026
ILMN_1720235	84.21881	0.2051948
ILMN_2240009	79.55923	0.3
ILMN_1736178	77.28294	0.3636364
ILMN_1803376	171.2249	0.009090909
ILMN_3240321	104.5412	0.06233766
ILMN_1712944	1191.763	0
ILMN_2333107	443.0556	0
ILMN_1707958	81.47286	0.2532468
ILMN_1660424	68.87226	0.8324676
ILMN_1701998	110.2425	0.04935065
ILMN_1651235	72.09497	0.6324675
ILMN_1694140	76.9221	0.3805195
ILMN_1730995	100.9261	0.06883117
ILMN_2404917	85.61558	0.1896104
ILMN_1702696	80.29765	0.2779221
ILMN_2084562	74.95018	0.4896104
ILMN_1769563	74.97775	0.4883117
ILMN_1673119	103.2756	0.06493507
ILMN_2129015	205.0025	0.005194805
ILMN_1725889	77.0686	0.374026
ILMN_1775235	137.8129	0.02987013
ILMN_1677951	72.43244	0.6155844
ILMN_1708502	158.5881	0.01428571
ILMN_1705447	178.3981	0.007792208
ILMN_1699172	108.0694	0.05454545
ILMN_2409898	73.31114	0.5701299
ILMN_2295698	78.83765	0.3220779
ILMN_2066124	199.7289	0.005194805
ILMN_1777797	66.20119	0.9376624
ILMN_2095653	80.98131	0.2662338
ILMN_1707551	100.8475	0.06883117
ILMN_1782204	67.52872	0.8974026
ILMN_2402766	261.8759	0
ILMN_1767722	101.3812	0.06753246
ILMN_2342841	314.7628	0
ILMN_1802631	148.801	0.02077922
