PROBE_ID	7677153059_G.VALUE	7677153059_G.Detection Pval
ILMN_1686432	72.84403	0.6545454
ILMN_1697550	212.4858	0.009090909
ILMN_2158705	98.41222	0.1493506
ILMN_1803686	139.1291	0.04155844
ILMN_1745580	62.42614	0.9987013
ILMN_1745108	68.1767	0.8974026
ILMN_1725043	92.23413	0.1974026
ILMN_2148360	123.4941	0.05584415
ILMN_1718946	382.4825	0
ILMN_1711374	85.11175	0.2727273
ILMN_1726266	77.12063	0.4701299
ILMN_1705689	77.20435	0.4688312
ILMN_1785393	81.11805	0.3545454
ILMN_2384544	161.8002	0.02207792
ILMN_1756920	621.9323	0
ILMN_1799728	115.9651	0.07662338
ILMN_1751500	98.82765	0.1493506
ILMN_2121068	437.4033	0
ILMN_1765779	111.0065	0.08961039
ILMN_2201386	69.99213	0.8116883
ILMN_1682225	69.49899	0.8350649
ILMN_1788481	93.08929	0.1922078
ILMN_1713751	591.3198	0
ILMN_1662675	78.28445	0.4350649
ILMN_1737629	75.00903	0.5558441
ILMN_1812112	76.85082	0.4818182
ILMN_3241313	74.63148	0.5714286
ILMN_1675210	67.74413	0.9142857
ILMN_1706302	75.26175	0.5428572
ILMN_2351754	67.92703	0.9051948
ILMN_2060086	73.59997	0.6181818
ILMN_1664236	88.82584	0.2233766
ILMN_1664631	107.4952	0.0987013
ILMN_1802100	81.11146	0.3545454
ILMN_2194158	84.96234	0.2727273
ILMN_2100871	73.26369	0.635065
ILMN_1806841	115.6234	0.07922078
ILMN_1798045	73.03841	0.648052
ILMN_2293012	70.33523	0.7974026
ILMN_1703383	110.6329	0.08961039
ILMN_1651657	92.26276	0.1974026
ILMN_1671297	128.5792	0.05324675
ILMN_1669486	67.53722	0.9181818
ILMN_1795204	101.3454	0.1246753
ILMN_2223911	73.47529	0.6233766
ILMN_1685531	70.82709	0.7688312
ILMN_1764554	73.64249	0.6181818
ILMN_2302214	84.2865	0.2857143
ILMN_1783312	71.42963	0.7298701
ILMN_2143210	78.06755	0.448052
ILMN_1750294	76.82479	0.4818182
ILMN_1708348	760.7536	0
ILMN_1727524	181.9486	0.01558442
ILMN_1716909	68.87659	0.8623376
ILMN_2103107	128.2515	0.05324675
ILMN_1673566	70.5536	0.7831169
ILMN_1751168	76.19928	0.5103896
ILMN_1660970	74.33997	0.5831169
ILMN_1787386	74.31559	0.5831169
ILMN_2286570	75.48918	0.5311688
ILMN_2413732	76.2983	0.5051948
ILMN_1873412	91.20323	0.2051948
ILMN_1676452	78.14977	0.4428571
ILMN_2358134	83.52521	0.3
ILMN_1683781	73.15279	0.6415585
ILMN_1726247	77.73995	0.4558442
ILMN_1682989	165.4966	0.02077922
ILMN_1739872	76.80267	0.4857143
ILMN_1770152	72.4203	0.6766234
ILMN_1656171	69.15951	0.8506494
ILMN_1796628	79.1314	0.4051948
ILMN_1811765	85.71098	0.2688312
ILMN_1791795	70.17245	0.8038961
ILMN_1787908	75.01734	0.5545455
ILMN_1651717	80.8149	0.3636364
ILMN_1703803	68.7319	0.8701299
ILMN_2092933	85.97485	0.2662338
ILMN_1681886	74.13696	0.5883117
ILMN_1767362	73.20135	0.6402597
ILMN_3251322	69.27343	0.8467532
ILMN_2211790	75.175	0.5467532
ILMN_1672403	70.56067	0.7831169
ILMN_1805543	95.95939	0.1688312
ILMN_1706992	167.0847	0.02077922
ILMN_1684919	75.16393	0.548052
ILMN_1727084	77.28422	0.4662338
ILMN_1705250	70.20742	0.8025974
ILMN_1722621	81.96197	0.3350649
ILMN_1721495	81.22778	0.3532467
ILMN_1798690	81.69426	0.3402597
ILMN_1687035	130.9262	0.04935065
ILMN_1777683	99.65273	0.1415584
ILMN_1762294	122.1291	0.05844156
ILMN_1793040	139.7778	0.04025974
ILMN_3247424	157.5415	0.02597403
ILMN_1763000	372.357	0
ILMN_1776777	1597.412	0
ILMN_1706963	72.70337	0.6597403
ILMN_2320964	478.429	0
ILMN_1697628	103.9363	0.1142857
ILMN_2319326	153.5402	0.02597403
ILMN_1657442	94.37446	0.1818182
ILMN_1679797	317.8573	0
ILMN_1749493	72.34447	0.6792208
ILMN_1657139	175.6977	0.01688312
ILMN_3245693	74.86716	0.561039
ILMN_1806275	99.17645	0.1480519
ILMN_1659599	93.53397	0.1922078
ILMN_1698777	128.0359	0.05324675
ILMN_1663132	117.8841	0.06883117
ILMN_1700349	98.65261	0.1493506
ILMN_1761309	79.74474	0.3857143
ILMN_2120555	92.04073	0.1987013
ILMN_1742073	65.69682	0.9779221
ILMN_3241894	123.5721	0.05584415
ILMN_1810691	113.2231	0.08311688
ILMN_1676893	179.294	0.01558442
ILMN_2148944	141.3021	0.03896104
ILMN_1708588	70.62006	0.7792208
ILMN_2311674	90.83308	0.2090909
ILMN_1685156	85.48149	0.2701299
ILMN_1655935	220.6386	0.007792208
ILMN_1754440	91.42102	0.2038961
ILMN_1654287	84.97509	0.2727273
ILMN_1763344	93.55984	0.1922078
ILMN_1711736	160.963	0.02207792
ILMN_2356786	159.4567	0.02207792
ILMN_1759252	1441.59	0
ILMN_1678791	75.27942	0.5428572
ILMN_2336146	68.9211	0.8623376
ILMN_2286339	92.65637	0.1935065
ILMN_1694133	75.51166	0.5298702
ILMN_1678501	74.89768	0.561039
ILMN_1787378	708.6283	0
ILMN_1814526	987.5404	0
ILMN_2311278	519.2351	0
ILMN_1764309	147.4866	0.03246753
ILMN_1811598	71.69471	0.7103896
ILMN_1740717	65.25638	0.9883117
ILMN_2136010	72.68282	0.6597403
ILMN_1797912	77.61189	0.4584416
ILMN_1738604	94.5274	0.1805195
ILMN_1691175	132.7966	0.04805195
ILMN_2223359	70.34265	0.7974026
ILMN_1702858	176.7251	0.01558442
ILMN_2363634	113.0466	0.08311688
ILMN_1813975	94.00774	0.1857143
ILMN_1743331	70.29808	0.8012987
ILMN_1775045	99.24079	0.1480519
ILMN_2096322	641.4023	0
ILMN_1688322	809.7365	0
ILMN_2224833	197.3721	0.01168831
ILMN_2358626	148.2039	0.03116883
ILMN_1768062	76.95724	0.4792208
ILMN_2358628	81.04395	0.3558442
ILMN_1801020	102.6737	0.1168831
ILMN_1708934	2282.204	0
ILMN_1702933	179.6943	0.01558442
ILMN_1657993	166.4518	0.02077922
ILMN_1666019	200.3887	0.01038961
ILMN_2080751	173.7304	0.01688312
ILMN_1690352	144.5212	0.03636364
ILMN_2275396	102.1726	0.1194805
ILMN_2373444	113.3058	0.08311688
ILMN_1747227	140.6357	0.04025974
ILMN_1807372	235.2586	0.007792208
ILMN_1703946	102.9574	0.1168831
ILMN_1733259	135.6024	0.04415584
ILMN_1730710	103.8045	0.1142857
ILMN_1793959	392.8236	0
ILMN_1794512	97.10084	0.1584416
ILMN_1795788	73.98059	0.5974026
ILMN_1760335	118.5448	0.06753246
ILMN_1788530	132.415	0.04805195
ILMN_1811480	164.789	0.02077922
ILMN_1813598	104.2518	0.112987
ILMN_1653821	84.91518	0.274026
ILMN_1780551	80.65913	0.3649351
ILMN_1669227	69.23898	0.8467532
ILMN_1709167	71.87938	0.6948052
ILMN_1679754	108.2447	0.09740259
ILMN_1716421	190.3768	0.01558442
ILMN_1659371	326.1874	0
ILMN_1677868	82.49663	0.3233766
ILMN_1707445	66.79361	0.9428571
ILMN_1733963	167.5497	0.01948052
ILMN_1804255	78.72856	0.4220779
ILMN_1695590	322.9899	0
ILMN_1694007	77.39423	0.4649351
ILMN_3307926	2252.527	0
ILMN_1673330	102.0231	0.1207792
ILMN_1668900	112.9679	0.08441558
ILMN_2389013	164.3819	0.02077922
ILMN_1760143	492.7675	0
ILMN_1790757	399.3644	0
ILMN_2092664	447.4146	0
ILMN_1778796	228.9883	0.007792208
ILMN_1749804	112.8054	0.08571429
ILMN_1720235	90.69583	0.2090909
ILMN_2240009	76.50558	0.4948052
ILMN_1736178	80.97839	0.3558442
ILMN_1803376	172.0108	0.01688312
ILMN_3240321	105.6721	0.1077922
ILMN_1712944	848.3431	0
ILMN_2333107	269.7072	0.002597403
ILMN_1707958	82.30775	0.325974
ILMN_1660424	71.64388	0.7116883
ILMN_1701998	86.64696	0.2545455
ILMN_1651235	80.15108	0.3753247
ILMN_1694140	79.63107	0.3922078
ILMN_1730995	90.9501	0.2090909
ILMN_2404917	89.90083	0.2168831
ILMN_1702696	86.19353	0.2623377
ILMN_2084562	75.05495	0.5545455
ILMN_1769563	82.08568	0.3337662
ILMN_1673119	93.16876	0.1922078
ILMN_2129015	185.9532	0.01558442
ILMN_1725889	82.00156	0.3337662
ILMN_1775235	121.2253	0.05974026
ILMN_1677951	76.13078	0.512987
ILMN_1708502	161.6331	0.02207792
ILMN_1705447	141.6443	0.03896104
ILMN_1699172	106.1513	0.1051948
ILMN_2409898	72.08205	0.687013
ILMN_2295698	82.10628	0.3324675
ILMN_2066124	172.0566	0.01688312
ILMN_1777797	67.98741	0.9012987
ILMN_2095653	90.24317	0.2116883
ILMN_1707551	106.2107	0.1025974
ILMN_1782204	74.35608	0.5831169
ILMN_2402766	260.3781	0.003896104
ILMN_1767722	90.50161	0.2103896
ILMN_2342841	204.9073	0.01038961
ILMN_1802631	117.7052	0.07012987
ILMN_2318481	70.60092	0.7792208
ILMN_2245223	94.68242	0.1792208
ILMN_3238543	69.31096	0.8441558
ILMN_1735591	139.7627	0.04025974
ILMN_2362126	124.5405	0.05584415
ILMN_2269136	144.0175	0.03766234
ILMN_3239130	168.4407	0.01948052
ILMN_2120103	68.71194	0.8701299
ILMN_3242883	324.3279	0
ILMN_2100055	80.94788	0.3584416
ILMN_1887648	65.58566	0.9818182
ILMN_1688627	73.79262	0.6103896
ILMN_1672767	68.43466	0.8857143
ILMN_2196642	78.03184	0.4493507
ILMN_2308689	150.1814	0.03116883
ILMN_2290776	104.9464	0.1103896
ILMN_1777182	122.9627	0.05714286
ILMN_1729777	79.25636	0.4025974
ILMN_1690829	95.57472	0.1714286
ILMN_2257015	127.0218	0.05454545
ILMN_3181215	178.7405	0.01558442
ILMN_3260345	245.5047	0.005194805
ILMN_1703228	80.15659	0.3753247
ILMN_1652023	100.201	0.1337662
ILMN_2064917	232.3951	0.007792208
ILMN_1776153	88.6442	0.2285714
ILMN_1772645	162.7581	0.02207792
ILMN_1775082	82.02928	0.3337662
ILMN_1680343	107.6002	0.0987013
ILMN_2277492	92.19305	0.1974026
ILMN_2371825	156.0288	0.02597403
ILMN_1717468	79.46217	0.3961039
ILMN_2274377	70.35811	0.7974026
ILMN_1750235	72.26656	0.6844156
ILMN_1664006	92.88889	0.1935065
ILMN_1707169	119.7929	0.06623377
ILMN_1779109	65.16506	0.9883117
ILMN_1697790	78.64921	0.4246753
ILMN_1679520	195.2232	0.01428571
ILMN_1732176	162.3358	0.02207792
ILMN_1681081	150.0515	0.03116883
ILMN_2377430	191.2153	0.01428571
ILMN_1661373	79.80519	0.3857143
ILMN_2288175	86.08693	0.2649351
ILMN_1654010	181.7904	0.01558442
ILMN_1732672	79.94907	0.3805195
ILMN_1730504	138.3541	0.04155844
ILMN_1662049	141.7494	0.03896104
ILMN_1740752	89.66741	0.2168831
ILMN_1794875	534.4574	0
ILMN_1698209	150.3172	0.03116883
ILMN_3307841	70.33579	0.7974026
ILMN_1814151	76.10973	0.512987
ILMN_2050246	63.55429	0.9974026
ILMN_1728787	173.3624	0.01688312
ILMN_2234605	72.78452	0.6584415
ILMN_1770454	155.9716	0.02597403
ILMN_1770336	69.13436	0.8506494
ILMN_1714253	95.19157	0.174026
ILMN_1813530	149.5139	0.03116883
ILMN_2223922	143.0732	0.03766234
ILMN_1718071	993.4979	0
ILMN_1814327	77.8435	0.4545455
ILMN_2341343	78.39012	0.4311688
ILMN_1775634	77.80583	0.4545455
ILMN_1802458	274.8701	0.002597403
ILMN_2307656	263.7586	0.003896104
ILMN_1709796	105.6475	0.1077922
ILMN_1783963	78.62123	0.425974
ILMN_2134801	65.6964	0.9779221
