PROBE_ID	7677153059_A.VALUE	7677153059_A.Detection Pval
ILMN_1750294	97.96832	0.6
ILMN_1708348	702.2154	0
ILMN_1727524	148.5124	0.03506494
ILMN_1716909	96.97626	0.6636364
ILMN_2103107	122.3909	0.07662338
ILMN_1673566	106.9287	0.2402597
ILMN_1751168	103.0848	0.3519481
ILMN_1660970	99.4743	0.5246753
ILMN_1787386	91.96463	0.9311689
ILMN_2286570	99.63279	0.5194805
ILMN_2413732	99.43935	0.5246753
ILMN_1873412	112.4431	0.1415584
ILMN_1676452	97.23235	0.6467533
ILMN_2358134	106.4002	0.2545455
ILMN_1683781	97.3725	0.6376624
ILMN_1726247	95.70438	0.7519481
ILMN_1682989	157.6513	0.02857143
ILMN_1739872	93.19576	0.8857143
ILMN_1770152	97.81523	0.6077922
ILMN_1656171	92.16337	0.9220779
ILMN_1796628	97.59708	0.6272727
ILMN_1811765	98.66023	0.5792208
ILMN_1791795	92.02139	0.9298701
ILMN_1787908	102.402	0.3766234
ILMN_1651717	103.7252	0.3363636
ILMN_1703803	90.99	0.9558442
ILMN_2092933	106.4887	0.2532468
ILMN_1681886	99.72543	0.512987
ILMN_1767362	101.7877	0.3935065
ILMN_3251322	94.70214	0.8116883
ILMN_2211790	95.87069	0.7402598
ILMN_1672403	99.92255	0.5
ILMN_1805543	110.6062	0.1701299
ILMN_1706992	147.871	0.03506494
ILMN_1684919	101.3176	0.4311688
ILMN_1727084	99.23375	0.5467532
ILMN_1705250	94.2884	0.8350649
ILMN_1722621	103.067	0.3519481
ILMN_1721495	106.3479	0.2558441
ILMN_1798690	99.14307	0.5493507
ILMN_1687035	128.5448	0.05584415
ILMN_1777683	115.3796	0.1090909
ILMN_1762294	117.2497	0.0987013
ILMN_1793040	129.6256	0.05324675
ILMN_3247424	179.4664	0.01298701
ILMN_1763000	209.3356	0.005194805
ILMN_1776777	1949.77	0
ILMN_1706963	105.3753	0.2805195
ILMN_2320964	772.1978	0
ILMN_1697628	116.8706	0.1
ILMN_2319326	161.1921	0.02597403
ILMN_1657442	111.2775	0.1545455
ILMN_1679797	295.7467	0
ILMN_1749493	94.27312	0.8350649
ILMN_1657139	188.5083	0.009090909
ILMN_3245693	102.7119	0.3662338
ILMN_1806275	114.9418	0.1142857
ILMN_1659599	114.8209	0.1168831
ILMN_1698777	128.6488	0.05584415
ILMN_1663132	144.9668	0.04025974
ILMN_1700349	127.1508	0.06363636
ILMN_1761309	111.741	0.1467533
ILMN_2120555	108.0698	0.212987
ILMN_1742073	95.68438	0.7519481
ILMN_3241894	115.9321	0.1038961
ILMN_1810691	115.3728	0.1090909
ILMN_1676893	194.9176	0.007792208
ILMN_2148944	145.4649	0.04025974
ILMN_1708588	94.34393	0.8298701
ILMN_2311674	112.7037	0.138961
ILMN_1685156	100.3733	0.4714286
ILMN_1655935	231.0351	0.003896104
ILMN_1754440	99.4668	0.5246753
ILMN_1654287	111.1912	0.1571429
ILMN_1763344	111.2508	0.1545455
ILMN_1711736	148.2823	0.03506494
ILMN_2356786	173.7511	0.01558442
ILMN_1759252	1543.77	0
ILMN_1678791	96.99548	0.6610389
ILMN_2336146	96.88541	0.6727273
ILMN_2286339	108.3063	0.212987
ILMN_1694133	94.66838	0.8155844
ILMN_1678501	102.2608	0.3792208
ILMN_1787378	665.4085	0
ILMN_1814526	737.0457	0
ILMN_2311278	568.8115	0
ILMN_1764309	139.0465	0.04285714
ILMN_1811598	99.56339	0.5207792
ILMN_1740717	98.35218	0.5896104
ILMN_2136010	98.40956	0.5896104
ILMN_1797912	98.30704	0.5896104
ILMN_1738604	107.2667	0.2324675
ILMN_1691175	145.8883	0.04025974
ILMN_2223359	97.76049	0.612987
ILMN_1702858	203.0283	0.005194805
ILMN_2363634	136.4054	0.04415584
ILMN_1813975	100.1536	0.4792208
ILMN_1743331	98.52398	0.5844156
ILMN_1775045	111	0.1597403
ILMN_2096322	364.0084	0
ILMN_1688322	532.56	0
ILMN_2224833	240.5036	0.002597403
ILMN_2358626	172.6831	0.01558442
ILMN_1768062	97.12468	0.6558442
ILMN_2358628	99.60687	0.5194805
ILMN_1801020	122.0733	0.07662338
ILMN_1708934	855.3467	0
ILMN_1702933	172.5852	0.01558442
ILMN_1657993	165.1737	0.02467532
ILMN_1666019	182.3699	0.01168831
ILMN_2080751	168.1009	0.02207792
ILMN_1690352	152.9396	0.03376623
ILMN_2275396	102.4917	0.3727273
ILMN_2373444	122.0969	0.07662338
ILMN_1747227	130.7135	0.05064935
ILMN_1807372	179.1581	0.01298701
ILMN_1703946	117.1442	0.1
ILMN_1733259	123.634	0.07402597
ILMN_1730710	129.6738	0.05324675
ILMN_1793959	304.9667	0
ILMN_1794512	117.3221	0.0987013
ILMN_1795788	93.22913	0.8857143
ILMN_1760335	116.9825	0.1
ILMN_1788530	138.4859	0.04285714
ILMN_1811480	156.3342	0.02857143
ILMN_1813598	111.2511	0.1545455
ILMN_1653821	104.4231	0.3142857
ILMN_1780551	100.6782	0.4584416
ILMN_1669227	98.75011	0.574026
ILMN_1709167	97.19431	0.6467533
ILMN_1679754	123.2521	0.07402597
ILMN_1716421	162.3228	0.02597403
ILMN_1659371	253.4598	0.002597403
ILMN_1677868	98.69267	0.5766234
ILMN_1707445	93.93472	0.8532467
ILMN_1733963	140.0083	0.04285714
ILMN_1804255	100.6227	0.4623377
ILMN_1695590	544.0731	0
ILMN_1694007	98.72608	0.5766234
ILMN_3307926	1573.097	0
ILMN_1673330	108.5271	0.2051948
ILMN_1668900	125.1938	0.06883117
ILMN_2389013	146.9831	0.03766234
ILMN_1760143	386.0553	0
ILMN_1790757	296.578	0
ILMN_2092664	322.2959	0
ILMN_1778796	161.3308	0.02597403
ILMN_1749804	131.4991	0.05064935
ILMN_1720235	99.50078	0.5246753
ILMN_2240009	99.74845	0.512987
ILMN_1736178	110.4102	0.1766234
ILMN_1803376	161.207	0.02597403
ILMN_3240321	123.5396	0.07402597
ILMN_1712944	1045.153	0
ILMN_2333107	429.244	0
ILMN_1707958	101.7467	0.3948052
ILMN_1660424	98.3641	0.5896104
ILMN_1701998	119.5634	0.08571429
ILMN_1651235	100.2121	0.4779221
ILMN_1694140	96.73928	0.6818182
ILMN_1730995	123.2298	0.07402597
ILMN_2404917	99.63557	0.5194805
ILMN_1702696	107.7178	0.2233766
ILMN_2084562	95.87109	0.7402598
ILMN_1769563	104.6905	0.3064935
ILMN_1673119	112.7728	0.138961
ILMN_2129015	168.1404	0.02207792
ILMN_1725889	100.3129	0.4753247
ILMN_1775235	107.7749	0.2220779
ILMN_1677951	89.61153	0.9792208
ILMN_1708502	144.8316	0.04025974
ILMN_1705447	163.4855	0.02597403
ILMN_1699172	126.0326	0.06753246
ILMN_2409898	96.99725	0.6610389
ILMN_2295698	107.5749	0.225974
ILMN_2066124	188.973	0.009090909
ILMN_1777797	99.84311	0.5038961
ILMN_2095653	102.6502	0.3688312
ILMN_1707551	115.8146	0.1038961
ILMN_1782204	100.164	0.4792208
ILMN_2402766	217.8527	0.005194805
ILMN_1767722	113.1013	0.1324675
ILMN_2342841	158.3779	0.02857143
ILMN_1802631	136.6895	0.04415584
ILMN_2318481	93.51833	0.8792208
ILMN_2245223	103.854	0.3298701
ILMN_3238543	97.53841	0.6298701
ILMN_1735591	141.2437	0.04285714
ILMN_2362126	132.6731	0.05064935
ILMN_2269136	133.422	0.05064935
ILMN_3239130	201.0567	0.005194805
ILMN_2120103	103.3257	0.3441558
ILMN_3242883	357.3731	0
ILMN_2100055	92.25558	0.9207792
ILMN_1887648	102.0697	0.3896104
ILMN_1688627	99.70264	0.5142857
ILMN_1672767	95.5136	0.7584416
ILMN_2196642	96.59821	0.6935065
ILMN_2308689	159.5049	0.02857143
ILMN_2290776	118.9336	0.09090909
ILMN_1777182	125.3628	0.06883117
ILMN_1729777	106.6247	0.2493507
ILMN_1690829	124.936	0.06883117
ILMN_2257015	145.7978	0.04025974
ILMN_3181215	128.2624	0.05844156
ILMN_3260345	186.067	0.01038961
ILMN_1703228	109.0296	0.1961039
ILMN_1652023	116.1601	0.1012987
ILMN_2064917	215.6243	0.005194805
ILMN_1776153	108.6047	0.2038961
ILMN_1772645	162.8237	0.02597403
ILMN_1775082	105.5586	0.2792208
ILMN_1680343	120.8817	0.08051948
ILMN_2277492	111.615	0.1493506
ILMN_2371825	190.4849	0.007792208
ILMN_1717468	101.8463	0.3935065
ILMN_2274377	88.90041	0.9883117
ILMN_1750235	96.54212	0.6961039
ILMN_1664006	113.5995	0.1272727
ILMN_1707169	128.9186	0.05584415
ILMN_1779109	94.99783	0.7961039
ILMN_1697790	99.90794	0.5012987
ILMN_1679520	196.6983	0.006493506
ILMN_1732176	150.0994	0.03506494
ILMN_1681081	141.7389	0.04285714
ILMN_2377430	176.8373	0.01428571
ILMN_1661373	100.694	0.4571429
ILMN_2288175	105.2365	0.2831169
ILMN_1654010	171.3216	0.01558442
ILMN_1732672	107.4633	0.2285714
ILMN_1730504	165.483	0.02467532
ILMN_1662049	131.0002	0.05064935
ILMN_1740752	110.1219	0.1805195
ILMN_1794875	340.3605	0
ILMN_1698209	141.1498	0.04285714
ILMN_3307841	96.07247	0.7194805
ILMN_1814151	95.86077	0.7428572
ILMN_2050246	95.69031	0.7519481
ILMN_1728787	140.0938	0.04285714
ILMN_2234605	92.4578	0.9168831
ILMN_1770454	146.9419	0.03766234
ILMN_1770336	92.47809	0.9168831
ILMN_1714253	111.7841	0.1454545
ILMN_1813530	142.6798	0.04285714
ILMN_2223922	182.1248	0.01168831
ILMN_1718071	686.1993	0
