PROBE_ID	7677153062_K.VALUE	7677153062_K.Detection Pval
ILMN_2351754	89.44684	0.8987013
ILMN_2060086	96.78439	0.4337662
ILMN_1664236	105.7731	0.187013
ILMN_1664631	110.4441	0.1428571
ILMN_1802100	96.30064	0.4662338
ILMN_2194158	92.63744	0.6974026
ILMN_2100871	94.61059	0.5662338
ILMN_1806841	120.8973	0.07402597
ILMN_1798045	94.34551	0.5831169
ILMN_2293012	90.72392	0.8246753
ILMN_1703383	108.4435	0.161039
ILMN_1651657	101.587	0.2779221
ILMN_1671297	132.7929	0.04935065
ILMN_1669486	88.45695	0.9337662
ILMN_1795204	101.5793	0.2779221
ILMN_2223911	89.18129	0.9103896
ILMN_1685531	88.74851	0.9285714
ILMN_1764554	92.23342	0.7298701
ILMN_2302214	100.4158	0.3025974
ILMN_1783312	92.64339	0.6974026
ILMN_2143210	93.62412	0.6311688
ILMN_1750294	94.77189	0.5545455
ILMN_1708348	693.1048	0
ILMN_1727524	140.6988	0.03246753
ILMN_1716909	92.32378	0.7194805
ILMN_2103107	129.1065	0.05454545
ILMN_1673566	93.90161	0.6116883
ILMN_1751168	90.71895	0.8246753
ILMN_1660970	101.1824	0.2883117
ILMN_1787386	90.38126	0.8454546
ILMN_2286570	100.0093	0.3142857
ILMN_2413732	95.54478	0.5025974
ILMN_1873412	102.4722	0.2519481
ILMN_1676452	100.7838	0.2961039
ILMN_2358134	94.2868	0.5844156
ILMN_1683781	95.03925	0.5337662
ILMN_1726247	98.87966	0.3441558
ILMN_1682989	165.1635	0.01818182
ILMN_1739872	94.70927	0.5597402
ILMN_1770152	91.16429	0.7948052
ILMN_1656171	85.9606	0.9779221
ILMN_1796628	93.06593	0.6649351
ILMN_1811765	96.16754	0.4727273
ILMN_1791795	86.0044	0.9779221
ILMN_1787908	95.43833	0.5090909
ILMN_1651717	99.28643	0.3337662
ILMN_1703803	95.19672	0.5298702
ILMN_2092933	99.57658	0.3272727
ILMN_1681886	98.3953	0.3675325
ILMN_1767362	87.45731	0.9558442
ILMN_3251322	91.12287	0.7948052
ILMN_2211790	94.62958	0.5649351
ILMN_1672403	94.69653	0.5597402
ILMN_1805543	108.8365	0.1584416
ILMN_1706992	152.2411	0.02597403
ILMN_1684919	94.18276	0.5909091
ILMN_1727084	94.7479	0.5571429
ILMN_1705250	91.43031	0.7857143
ILMN_1722621	100.959	0.2909091
ILMN_1721495	97.49653	0.4038961
ILMN_1798690	93.70673	0.6272727
ILMN_1687035	121.8525	0.06753246
ILMN_1777683	111.4652	0.125974
ILMN_1762294	121.3559	0.07142857
ILMN_1793040	131.6411	0.04935065
ILMN_3247424	163.7536	0.01818182
ILMN_1763000	167.3392	0.01688312
ILMN_1776777	1699.248	0
ILMN_1706963	96.07332	0.4805195
ILMN_2320964	710.0598	0
ILMN_1697628	115.5452	0.1
ILMN_2319326	154.6913	0.02467532
ILMN_1657442	105.5219	0.1948052
ILMN_1679797	307.4465	0
ILMN_1749493	94.49349	0.5753247
ILMN_1657139	186.6159	0.007792208
ILMN_3245693	93.85127	0.6168831
ILMN_1806275	113.4283	0.1168831
ILMN_1659599	108.6928	0.1584416
ILMN_1698777	131.1963	0.04935065
ILMN_1663132	149.1672	0.02727273
ILMN_1700349	137.968	0.03636364
ILMN_1761309	100.3355	0.3038961
ILMN_2120555	100.4544	0.3
ILMN_1742073	90.36028	0.8467532
ILMN_3241894	120.9884	0.07272727
ILMN_1810691	114.0721	0.1077922
ILMN_1676893	197.826	0.005194805
ILMN_2148944	144.1075	0.02987013
ILMN_1708588	95.09447	0.5298702
ILMN_2311674	98.95518	0.3428572
ILMN_1685156	99.96482	0.3142857
ILMN_1655935	237.9674	0.002597403
ILMN_1754440	99.61314	0.325974
ILMN_1654287	121.0641	0.07272727
ILMN_1763344	108.6521	0.1584416
ILMN_1711736	155.4503	0.02337662
ILMN_2356786	176.6034	0.009090909
ILMN_1759252	1420.743	0
ILMN_1678791	94.78576	0.5532467
ILMN_2336146	96.84658	0.4311688
ILMN_2286339	103.5985	0.2311688
