PROBE_ID	7677153062_F.VALUE	7677153062_F.Detection Pval
ILMN_1659599	92.06224	0.1480519
ILMN_1698777	112.1285	0.05064935
ILMN_1663132	134.48	0.03116883
ILMN_1700349	111.6084	0.05194805
ILMN_1761309	94.54869	0.1246753
ILMN_2120555	81.72363	0.3181818
ILMN_1742073	70.97408	0.9168831
ILMN_3241894	103.5311	0.08051948
ILMN_1810691	99.7626	0.09090909
ILMN_1676893	255.6888	0
ILMN_2148944	133.9037	0.03116883
ILMN_1708588	74.7608	0.6727273
ILMN_2311674	86.20963	0.2181818
ILMN_1685156	76.70193	0.5389611
ILMN_1655935	258.2183	0
ILMN_1754440	78.94077	0.4311688
ILMN_1654287	94.691	0.1246753
ILMN_1763344	85.11595	0.2415584
ILMN_1711736	134.251	0.03116883
ILMN_2356786	158.9038	0.01428571
ILMN_1759252	1796.816	0
ILMN_1678791	73.99622	0.7285714
ILMN_2336146	78.64262	0.448052
ILMN_2286339	89.4882	0.1714286
ILMN_1694133	78.43763	0.4532467
ILMN_1678501	76.7326	0.5389611
ILMN_1787378	902.5424	0
ILMN_1814526	1259.686	0
ILMN_2311278	560.172	0
ILMN_1764309	129.0007	0.03506494
ILMN_1811598	73.17578	0.7961039
ILMN_1740717	73.13766	0.8012987
ILMN_2136010	83.84065	0.2688312
ILMN_1797912	83.35075	0.2727273
ILMN_1738604	91.22513	0.1558442
ILMN_1691175	124.657	0.03896104
ILMN_2223359	78.84679	0.4350649
ILMN_1702858	215.3391	0.001298701
ILMN_2363634	121.8901	0.04155844
ILMN_1813975	95.26072	0.1194805
ILMN_1743331	73.14047	0.8012987
ILMN_1775045	91.36945	0.1545455
ILMN_2096322	417.9885	0
ILMN_1688322	493.9803	0
ILMN_2224833	232.3222	0.001298701
ILMN_2358626	149.942	0.02077922
ILMN_1768062	76.21008	0.5805195
ILMN_2358628	76.65311	0.5441558
ILMN_1801020	105.3015	0.07272727
ILMN_1708934	1208.059	0
ILMN_1702933	164.5165	0.01428571
ILMN_1657993	236.1096	0.001298701
ILMN_1666019	163.7917	0.01428571
ILMN_2080751	146.7413	0.02207792
ILMN_1690352	143.6065	0.02467532
ILMN_2275396	85.38821	0.2376623
ILMN_2373444	96.18331	0.1142857
ILMN_1747227	125.5383	0.03766234
ILMN_1807372	166.1744	0.01428571
ILMN_1703946	103.481	0.08051948
ILMN_1733259	80.48937	0.3675325
ILMN_1730710	94.18777	0.125974
ILMN_1793959	339.731	0
ILMN_1794512	93.97788	0.125974
ILMN_1795788	73.34713	0.7766234
ILMN_1760335	108.9666	0.05584415
ILMN_1788530	118.4274	0.04285714
ILMN_1811480	178.873	0.01168831
ILMN_1813598	96.9018	0.1064935
ILMN_1653821	81.87123	0.3090909
ILMN_1780551	79.13352	0.4207792
ILMN_1669227	73.69375	0.7493507
ILMN_1709167	79.45738	0.412987
ILMN_1679754	96.80001	0.1077922
ILMN_1716421	138.9237	0.02727273
ILMN_1659371	260.6761	0
ILMN_1677868	83.68266	0.2714286
ILMN_1707445	73.47433	0.7688312
ILMN_1733963	136.4232	0.02857143
ILMN_1804255	73.95741	0.7324675
ILMN_1695590	474.5583	0
ILMN_1694007	77.73071	0.4831169
ILMN_3307926	2467.391	0
ILMN_1673330	87.67472	0.1935065
ILMN_1668900	96.46141	0.1116883
ILMN_2389013	150.769	0.01948052
ILMN_1760143	403.9696	0
ILMN_1790757	365.2352	0
ILMN_2092664	386.2418	0
ILMN_1778796	239.578	0.001298701
ILMN_1749804	101.2906	0.08571429
ILMN_1720235	85.72043	0.2285714
ILMN_2240009	78.90874	0.4324675
ILMN_1736178	82.50618	0.3
ILMN_1803376	156.0729	0.01558442
ILMN_3240321	106.3513	0.06883117
ILMN_1712944	1133.484	0
ILMN_2333107	411.5849	0
ILMN_1707958	85.32105	0.2402597
ILMN_1660424	71.33768	0.9038961
ILMN_1701998	105.6865	0.07142857
ILMN_1651235	80.62298	0.361039
ILMN_1694140	78.08186	0.4714286
ILMN_1730995	102.031	0.08311688
ILMN_2404917	85.95177	0.2246753
ILMN_1702696	84.67652	0.2506494
ILMN_2084562	77.10203	0.5168831
ILMN_1769563	77.18433	0.5142857
ILMN_1673119	103.9777	0.07922078
ILMN_2129015	195.2316	0.006493506
ILMN_1725889	79.88033	0.3961039
ILMN_1775235	123.1319	0.04025974
ILMN_1677951	76.07733	0.5922078
ILMN_1708502	196.9134	0.006493506
ILMN_1705447	182.362	0.01168831
ILMN_1699172	102.2333	0.08181818
ILMN_2409898	74.75813	0.6727273
ILMN_2295698	89.48466	0.1714286
ILMN_2066124	203.9417	0.003896104
ILMN_1777797	71.35915	0.9025974
ILMN_2095653	77.69357	0.4857143
ILMN_1707551	99.51031	0.09220779
ILMN_1782204	74.41004	0.7
ILMN_2402766	276.9076	0
ILMN_1767722	98.39973	0.09740259
ILMN_2342841	240.3835	0
ILMN_1802631	152.4962	0.01818182
ILMN_2318481	74.82281	0.6701299
ILMN_2245223	87.57555	0.1935065
ILMN_3238543	75.21394	0.6571429
ILMN_1735591	126.9723	0.03506494
ILMN_2362126	114.0269	0.04545455
ILMN_2269136	110.2119	0.05454545
ILMN_3239130	162.9284	0.01428571
ILMN_2120103	76.08765	0.5896104
ILMN_3242883	362.5359	0
ILMN_2100055	79.32079	0.4181818
ILMN_1887648	76.36716	0.5714286
ILMN_1688627	76.48761	0.5584416
ILMN_1672767	77.65831	0.4896104
ILMN_2196642	78.38681	0.4545455
ILMN_2308689	141.0389	0.02727273
ILMN_2290776	97.61942	0.1025974
ILMN_1777182	124.3442	0.03896104
ILMN_1729777	83.79926	0.2688312
ILMN_1690829	93.49976	0.1285714
ILMN_2257015	133.618	0.03116883
ILMN_3181215	121.2879	0.04285714
ILMN_3260345	176.773	0.01168831
ILMN_1703228	88.57722	0.1766234
ILMN_1652023	89.2276	0.1727273
ILMN_2064917	262.5067	0
ILMN_1776153	92.63128	0.1415584
ILMN_1772645	165.1868	0.01428571
ILMN_1775082	82.69044	0.2935065
ILMN_1680343	93.4707	0.1285714
ILMN_2277492	84.55742	0.2532468
ILMN_2371825	253.0643	0
ILMN_1717468	81.18932	0.3311688
ILMN_2274377	78.8531	0.4324675
ILMN_1750235	70.56129	0.925974
ILMN_1664006	110.154	0.05454545
ILMN_1707169	124.3777	0.03896104
ILMN_1779109	65.89337	0.9948052
ILMN_1697790	74.91663	0.6688312
ILMN_1679520	176.7895	0.01168831
ILMN_1732176	124.0996	0.03896104
ILMN_1681081	130.4088	0.03246753
ILMN_2377430	162.8046	0.01428571
ILMN_1661373	73.49091	0.7662337
ILMN_2288175	81.4397	0.3220779
ILMN_1654010	158.0542	0.01428571
ILMN_1732672	80.73013	0.3467532
ILMN_1730504	157.2668	0.01428571
ILMN_1662049	137.271	0.02857143
ILMN_1740752	87.34459	0.2
ILMN_1794875	456.6383	0
ILMN_1698209	124.3594	0.03896104
ILMN_3307841	72.92231	0.8155844
ILMN_1814151	79.4647	0.412987
ILMN_2050246	74.81171	0.6701299
ILMN_1728787	120.4312	0.04285714
ILMN_2234605	75.53463	0.6233766
ILMN_1770454	128.2577	0.03506494
ILMN_1770336	74.61687	0.6805195
ILMN_1714253	89.42606	0.1714286
ILMN_1813530	113.5253	0.04805195
ILMN_2223922	172.9119	0.01298701
ILMN_1718071	776.4819	0
ILMN_1814327	76.93093	0.5298702
ILMN_2341343	78.69287	0.4428571
ILMN_1775634	75.38244	0.635065
ILMN_1802458	220.7183	0.001298701
ILMN_2307656	226.9195	0.001298701
ILMN_1709796	93.71548	0.1285714
ILMN_1783963	73.63771	0.7545455
ILMN_2134801	72.73266	0.8285714
ILMN_1757807	87.59926	0.1935065
ILMN_1673529	305.8075	0
ILMN_1686370	126.6327	0.03506494
ILMN_1809139	301.9936	0
