PROBE_ID	7677153059_I.VALUE	7677153059_I.Detection Pval
ILMN_1802631	149.9171	0.02597403
ILMN_2318481	74.21589	0.6558442
ILMN_2245223	89.02521	0.2064935
ILMN_3238543	70.92017	0.851948
ILMN_1735591	130.5961	0.04025974
ILMN_2362126	119.6924	0.04935065
ILMN_2269136	127.4951	0.04155844
ILMN_3239130	227.1173	0.003896104
ILMN_2120103	76.49062	0.5298702
ILMN_3242883	462.4327	0
ILMN_2100055	77.58241	0.4688312
ILMN_1887648	70.92248	0.851948
ILMN_1688627	77.84003	0.4636364
ILMN_1672767	73.35791	0.7038961
ILMN_2196642	78.87414	0.4285714
ILMN_2308689	158.5457	0.02077922
ILMN_2290776	112.8319	0.06103896
ILMN_1777182	108.4021	0.07532468
ILMN_1729777	78.50201	0.4402598
ILMN_1690829	100.7334	0.1116883
ILMN_2257015	123.0694	0.04805195
ILMN_3181215	111.1692	0.06623377
ILMN_3260345	144.5278	0.02857143
ILMN_1703228	90.05082	0.1987013
ILMN_1652023	107.3099	0.08311688
ILMN_2064917	293.343	0
ILMN_1776153	103.1543	0.0961039
ILMN_1772645	168.4808	0.01688312
ILMN_1775082	82.30334	0.3324675
ILMN_1680343	105.1852	0.08961039
ILMN_2277492	84.86839	0.2675325
ILMN_2371825	219.2994	0.005194805
ILMN_1717468	80.82159	0.3701299
ILMN_2274377	71.14796	0.8467532
ILMN_1750235	72.83971	0.7454545
ILMN_1664006	119.2522	0.05064935
ILMN_1707169	119.4007	0.04935065
ILMN_1779109	72.04374	0.7909091
ILMN_1697790	76.45186	0.5298702
ILMN_1679520	182.9467	0.009090909
ILMN_1732176	134.8412	0.03636364
ILMN_1681081	145.377	0.02857143
ILMN_2377430	135.8218	0.03376623
ILMN_1661373	82.14767	0.3363636
ILMN_2288175	81.65343	0.3480519
ILMN_1654010	186.8245	0.009090909
ILMN_1732672	79.47687	0.4142857
ILMN_1730504	142.9887	0.02987013
ILMN_1662049	136.2525	0.03376623
ILMN_1740752	82.17588	0.3337662
ILMN_1794875	485.794	0
ILMN_1698209	147.478	0.02857143
ILMN_3307841	76.44176	0.5298702
ILMN_1814151	73.02853	0.7220779
ILMN_2050246	72.94823	0.7363636
ILMN_1728787	140.3609	0.02987013
ILMN_2234605	70.28961	0.8896104
ILMN_1770454	133.212	0.03766234
ILMN_1770336	70.07889	0.9012987
ILMN_1714253	90.89553	0.1948052
ILMN_1813530	146.1238	0.02857143
ILMN_2223922	157.2756	0.02077922
ILMN_1718071	841.0197	0
ILMN_1814327	73.08485	0.7207792
ILMN_2341343	79.11248	0.4194805
ILMN_1775634	79.29273	0.4155844
ILMN_1802458	205.3697	0.005194805
ILMN_2307656	215.2575	0.005194805
ILMN_1709796	97.47944	0.1363636
ILMN_1783963	69.56096	0.925974
ILMN_2134801	72.01734	0.7922078
ILMN_1757807	82.94952	0.3116883
ILMN_1673529	308.5682	0
