PROBE_ID	7677153059_H.VALUE	7677153059_H.Detection Pval
ILMN_1716421	147.9663	0.02207792
ILMN_1659371	265.3354	0
ILMN_1677868	80.39384	0.3922078
ILMN_1707445	76.36003	0.5818182
ILMN_1733963	143.1425	0.02857143
ILMN_1804255	77.30704	0.5311688
ILMN_1695590	414.6969	0
ILMN_1694007	76.38587	0.5792208
ILMN_3307926	2439.414	0
ILMN_1673330	92.95683	0.1558442
ILMN_1668900	98.67883	0.112987
ILMN_2389013	158.0487	0.01558442
ILMN_1760143	406.3932	0
ILMN_1790757	286.5375	0
ILMN_2092664	306.9685	0
ILMN_1778796	192.6046	0.005194805
ILMN_1749804	111.0814	0.06363636
ILMN_1720235	84.89342	0.2662338
ILMN_2240009	78.17474	0.4844156
ILMN_1736178	82.47427	0.3233766
ILMN_1803376	135.0595	0.03376623
ILMN_3240321	99.20554	0.1103896
ILMN_1712944	760.6785	0
ILMN_2333107	311.4944	0
ILMN_1707958	85.06353	0.2636364
ILMN_1660424	78.79945	0.4558442
ILMN_1701998	96.39079	0.1285714
ILMN_1651235	73.03594	0.774026
ILMN_1694140	78.03751	0.4896104
ILMN_1730995	95.51834	0.1337662
ILMN_2404917	84.99213	0.2649351
ILMN_1702696	97.9755	0.1207792
ILMN_2084562	74.82677	0.6545454
ILMN_1769563	78.80164	0.4558442
ILMN_1673119	99.27543	0.1103896
ILMN_2129015	239.3927	0.002597403
ILMN_1725889	85.53606	0.2558441
ILMN_1775235	83.90318	0.2883117
ILMN_1677951	75.88026	0.6038961
ILMN_1708502	153.4228	0.01818182
ILMN_1705447	149.6937	0.02207792
ILMN_1699172	98.79781	0.1116883
ILMN_2409898	74.66553	0.6623377
ILMN_2295698	83.09398	0.3077922
ILMN_2066124	148.8873	0.02207792
ILMN_1777797	73.71896	0.7233766
ILMN_2095653	87.36115	0.2155844
ILMN_1707551	95.00469	0.1376623
ILMN_1782204	71.79205	0.8753247
ILMN_2402766	318.7853	0
ILMN_1767722	100.8445	0.09740259
ILMN_2342841	238.0441	0.002597403
ILMN_1802631	107.632	0.07792208
ILMN_2318481	73.25273	0.761039
ILMN_2245223	95.06421	0.1363636
ILMN_3238543	73.47437	0.7493507
ILMN_1735591	129.0542	0.03896104
ILMN_2362126	114.4771	0.05454545
ILMN_2269136	124.194	0.04415584
ILMN_3239130	169.655	0.01038961
ILMN_2120103	74.30499	0.6818182
ILMN_3242883	289.6199	0
ILMN_2100055	75.22012	0.638961
ILMN_1887648	68.68661	0.9818182
ILMN_1688627	74.18458	0.6883117
ILMN_1672767	74.81801	0.6545454
ILMN_2196642	81.91174	0.3350649
ILMN_2308689	150.9478	0.02207792
ILMN_2290776	102.8517	0.08831169
ILMN_1777182	104.1368	0.08571429
ILMN_1729777	88.33315	0.2064935
ILMN_1690829	108.7587	0.07532468
ILMN_2257015	132.4252	0.03506494
ILMN_3181215	164.7695	0.01428571
ILMN_3260345	257.1393	0
ILMN_1703228	79.66581	0.4194805
ILMN_1652023	98.42905	0.1155844
ILMN_2064917	198.6712	0.005194805
ILMN_1776153	83.28669	0.3038961
ILMN_1772645	148.8518	0.02207792
ILMN_1775082	83.62099	0.2974026
ILMN_1680343	99.06239	0.1116883
ILMN_2277492	86.49012	0.2350649
ILMN_2371825	150.4999	0.02207792
ILMN_1717468	79.12419	0.4415585
ILMN_2274377	76.03452	0.6
ILMN_1750235	72.93256	0.7818182
ILMN_1664006	97.76913	0.1233766
ILMN_1707169	94.80997	0.1376623
ILMN_1779109	65.79124	1
ILMN_1697790	76.68436	0.561039
ILMN_1679520	205.9113	0.005194805
ILMN_1732176	185.5158	0.007792208
ILMN_1681081	159.4867	0.01428571
ILMN_2377430	221.44	0.002597403
ILMN_1661373	79.34203	0.4337662
ILMN_2288175	76.78759	0.561039
ILMN_1654010	175.5305	0.01038961
ILMN_1732672	83.87418	0.2883117
ILMN_1730504	206.8647	0.005194805
ILMN_1662049	126.5939	0.04155844
ILMN_1740752	94.55325	0.1415584
ILMN_1794875	585.5857	0
ILMN_1698209	128.3986	0.03896104
ILMN_3307841	71.96503	0.8662338
ILMN_1814151	79.28235	0.4337662
ILMN_2050246	70.95364	0.9103896
ILMN_1728787	134.3027	0.03506494
ILMN_2234605	75.1253	0.6441559
ILMN_1770454	138.5335	0.02987013
ILMN_1770336	73.04441	0.774026
ILMN_1714253	93.8298	0.1493506
ILMN_1813530	136.12	0.03246753
ILMN_2223922	156.9342	0.01558442
ILMN_1718071	1226.393	0
ILMN_1814327	77.46917	0.525974
ILMN_2341343	83.48565	0.3012987
ILMN_1775634	73.62594	0.7285714
ILMN_1802458	233.5389	0.002597403
ILMN_2307656	258.8254	0
ILMN_1709796	93.80711	0.1493506
