PROBE_ID	7677153059_C.VALUE	7677153059_C.Detection Pval
ILMN_1740717	81.75465	0.7298701
ILMN_2136010	88.57854	0.3402597
ILMN_1797912	84.8585	0.5168831
ILMN_1738604	99.82043	0.1220779
ILMN_1691175	124.0173	0.04805195
ILMN_2223359	82.91421	0.6636364
ILMN_1702858	171.7879	0.01038961
ILMN_2363634	122.2685	0.04935065
ILMN_1813975	94.96858	0.1844156
ILMN_1743331	81.23701	0.7636364
ILMN_1775045	107.4749	0.08311688
ILMN_2096322	348.9072	0
ILMN_1688322	489.7552	0
ILMN_2224833	228.5213	0.003896104
ILMN_2358626	161.9246	0.01428571
ILMN_1768062	88.44246	0.3467532
ILMN_2358628	94.98528	0.1844156
ILMN_1801020	115.015	0.05974026
ILMN_1708934	989.4278	0
ILMN_1702933	176.7389	0.009090909
ILMN_1657993	220.3016	0.005194805
ILMN_1666019	148.5514	0.02727273
ILMN_2080751	149.2866	0.02597403
ILMN_1690352	146.1073	0.02987013
ILMN_2275396	93.6869	0.2038961
ILMN_2373444	105.0296	0.09090909
ILMN_1747227	126.6782	0.04545455
ILMN_1807372	176.5381	0.009090909
ILMN_1703946	113.1747	0.06233766
ILMN_1733259	108.4962	0.08181818
ILMN_1730710	116.5121	0.05454545
ILMN_1793959	349.0976	0
ILMN_1794512	108.8338	0.07792208
ILMN_1795788	83.89615	0.5909091
ILMN_1760335	115.9425	0.05584415
ILMN_1788530	110.3199	0.07012987
ILMN_1811480	192.3627	0.007792208
ILMN_1813598	103.2316	0.0987013
ILMN_1653821	92.94964	0.2220779
ILMN_1780551	89.55974	0.3077922
ILMN_1669227	81.41006	0.7532467
ILMN_1709167	83.13645	0.6441559
ILMN_1679754	105.1955	0.09090909
ILMN_1716421	154.8207	0.02077922
ILMN_1659371	241.1467	0.003896104
ILMN_1677868	93.96277	0.1987013
ILMN_1707445	83.48915	0.6142857
ILMN_1733963	127.71	0.04415584
ILMN_1804255	84.37833	0.5519481
ILMN_1695590	552.793	0
ILMN_1694007	89.20084	0.3142857
ILMN_3307926	2042.838	0
ILMN_1673330	90.98331	0.2701299
ILMN_1668900	109.1403	0.07662338
ILMN_2389013	164.4586	0.01298701
ILMN_1760143	500.2945	0
ILMN_1790757	360.5792	0
ILMN_2092664	355.2206	0
ILMN_1778796	203.6288	0.005194805
ILMN_1749804	113.3548	0.06233766
ILMN_1720235	89.05043	0.3181818
ILMN_2240009	87.71835	0.3727273
ILMN_1736178	104.5389	0.09350649
ILMN_1803376	177.1896	0.009090909
ILMN_3240321	111.5981	0.06623377
ILMN_1712944	884.7526	0
ILMN_2333107	359.7643	0
ILMN_1707958	87.0721	0.4038961
ILMN_1660424	83.20941	0.6402597
ILMN_1701998	90.58913	0.274026
ILMN_1651235	85.44587	0.4831169
ILMN_1694140	86.34142	0.4376623
ILMN_1730995	108.6261	0.08181818
ILMN_2404917	101.2618	0.1103896
ILMN_1702696	89.52184	0.3090909
ILMN_2084562	86.71745	0.4272727
ILMN_1769563	90.66778	0.274026
ILMN_1673119	98.94335	0.1363636
ILMN_2129015	153.584	0.02077922
ILMN_1725889	84.32535	0.5571429
ILMN_1775235	169.6444	0.01168831
ILMN_1677951	92.45907	0.2285714
ILMN_1708502	148.5009	0.02727273
ILMN_1705447	189.8843	0.007792208
ILMN_1699172	108.6714	0.08181818
ILMN_2409898	82.11878	0.7077922
ILMN_2295698	89.93651	0.2935065
ILMN_2066124	202.9177	0.005194805
ILMN_1777797	75.58205	0.9896104
ILMN_2095653	89.87772	0.2935065
ILMN_1707551	101.4845	0.1077922
ILMN_1782204	82.96331	0.6623377
ILMN_2402766	242.7405	0.003896104
ILMN_1767722	111.9882	0.06623377
ILMN_2342841	194.8834	0.006493506
ILMN_1802631	136.8264	0.03506494
ILMN_2318481	82.86806	0.6688312
ILMN_2245223	100.5135	0.1142857
ILMN_3238543	83.25297	0.635065
ILMN_1735591	132.7096	0.04025974
ILMN_2362126	118.4902	0.05454545
ILMN_2269136	122.4474	0.04935065
ILMN_3239130	196.8433	0.006493506
ILMN_2120103	82.28952	0.7
ILMN_3242883	391.0486	0
ILMN_2100055	86.98188	0.4090909
ILMN_1887648	81.86057	0.7181818
ILMN_1688627	82.9971	0.6571429
ILMN_1672767	83.32314	0.6324675
ILMN_2196642	81.75613	0.7285714
ILMN_2308689	138.6187	0.03506494
ILMN_2290776	112.175	0.06623377
ILMN_1777182	112.7936	0.06233766
ILMN_1729777	91.21664	0.2649351
ILMN_1690829	100.9948	0.1116883
ILMN_2257015	137.6231	0.03506494
ILMN_3181215	104.4631	0.09350649
ILMN_3260345	135.3706	0.03636364
ILMN_1703228	87.91458	0.3636364
ILMN_1652023	112.2395	0.06623377
ILMN_2064917	267.4568	0.001298701
ILMN_1776153	94.96087	0.1844156
ILMN_1772645	152.8151	0.02207792
ILMN_1775082	88.36076	0.3493507
ILMN_1680343	106.0544	0.08571429
ILMN_2277492	95.36218	0.1766234
ILMN_2371825	206.1241	0.005194805
ILMN_1717468	85.1711	0.4974026
ILMN_2274377	80.37148	0.8181818
ILMN_1750235	77.69154	0.9467533
ILMN_1664006	107.1137	0.08441558
ILMN_1707169	123.3428	0.04935065
ILMN_1779109	80.47072	0.8155844
ILMN_1697790	88.04006	0.3597403
ILMN_1679520	182.7296	0.009090909
ILMN_1732176	139.7267	0.03376623
ILMN_1681081	138.0997	0.03506494
ILMN_2377430	131.5018	0.04155844
ILMN_1661373	88.01745	0.3597403
ILMN_2288175	88.24587	0.3545454
