PROBE_ID	7677153059_E.VALUE	7677153059_E.Detection Pval
ILMN_2148360	121.8766	0.05714286
ILMN_1718946	267.2331	0
ILMN_1711374	95.86765	0.2454545
ILMN_1726266	90.81009	0.3857143
ILMN_1705689	92.42268	0.338961
ILMN_1785393	86.90417	0.5935065
ILMN_2384544	157.3916	0.01948052
ILMN_1756920	424.4343	0
ILMN_1799728	114.576	0.08571429
ILMN_1751500	104.6311	0.1272727
ILMN_2121068	397.8221	0
ILMN_1765779	127.6302	0.04935065
ILMN_2201386	84.00993	0.7818182
ILMN_1682225	84.48337	0.7441558
ILMN_1788481	104.473	0.1311688
ILMN_1713751	637.0236	0
ILMN_1662675	87.83215	0.525974
ILMN_1737629	91.47967	0.3714286
ILMN_1812112	87.32368	0.5584416
ILMN_3241313	87.95293	0.5181818
ILMN_1675210	86.01331	0.6454545
ILMN_1706302	85.13911	0.7025974
ILMN_2351754	81.32819	0.9168831
ILMN_2060086	89.11414	0.4636364
ILMN_1664236	95.96143	0.2415584
ILMN_1664631	102.766	0.151948
ILMN_1802100	89.71889	0.4324675
ILMN_2194158	91.4284	0.3714286
ILMN_2100871	87.88612	0.5207792
ILMN_1806841	112.5563	0.09350649
ILMN_1798045	83.99997	0.7818182
ILMN_2293012	86.48959	0.6168831
ILMN_1703383	116.9954	0.07532468
ILMN_1651657	90.67685	0.3883117
ILMN_1671297	118.6562	0.06623377
ILMN_1669486	82.46883	0.8766234
ILMN_1795204	104.4865	0.1298701
ILMN_2223911	83.43557	0.8246753
ILMN_1685531	80.69097	0.9402598
ILMN_1764554	87.91948	0.5194805
ILMN_2302214	93.35172	0.3155844
ILMN_1783312	95.40612	0.2571429
ILMN_2143210	84.86803	0.7220779
ILMN_1750294	84.49229	0.7428572
ILMN_1708348	1176.937	0
ILMN_1727524	164.9014	0.01688312
ILMN_1716909	87.68746	0.5311688
ILMN_2103107	121.6121	0.05714286
ILMN_1673566	91.43114	0.3714286
ILMN_1751168	86.57172	0.6103896
ILMN_1660970	91.02045	0.3792208
ILMN_1787386	86.49392	0.6168831
ILMN_2286570	90.27486	0.4142857
ILMN_2413732	87.06971	0.5779221
ILMN_1873412	98.05688	0.2103896
ILMN_1676452	84.86042	0.7220779
ILMN_2358134	88.30831	0.5
ILMN_1683781	89.68777	0.4324675
ILMN_1726247	92.33701	0.3415585
ILMN_1682989	151.5214	0.02337662
ILMN_1739872	86.57828	0.6103896
ILMN_1770152	82.51927	0.8753247
ILMN_1656171	80.57177	0.9428571
ILMN_1796628	87.4198	0.5506493
ILMN_1811765	89.7533	0.4311688
ILMN_1791795	79.75786	0.9688312
ILMN_1787908	91.4762	0.3714286
ILMN_1651717	89.51386	0.438961
ILMN_1703803	85.37172	0.6896104
ILMN_2092933	96.23992	0.2376623
ILMN_1681886	89.7544	0.4311688
ILMN_1767362	92.08752	0.3519481
ILMN_3251322	89.08289	0.4649351
ILMN_2211790	82.45552	0.8766234
ILMN_1672403	91.18175	0.3766234
ILMN_1805543	102.1568	0.1623377
