PROBE_ID	7677153059_D.VALUE	7677153059_D.Detection Pval
ILMN_1803376	176.2791	0.02337662
ILMN_3240321	117.0351	0.1584416
ILMN_1712944	589.225	0
ILMN_2333107	187.1244	0.01558442
ILMN_1707958	111.4336	0.2285714
ILMN_1660424	96.73627	0.7480519
ILMN_1701998	104.5229	0.387013
ILMN_1651235	101.6851	0.4909091
ILMN_1694140	109.2556	0.2675325
ILMN_1730995	121.448	0.1233766
ILMN_2404917	104.6589	0.3831169
ILMN_1702696	109.5917	0.2623377
ILMN_2084562	102.3321	0.4558442
ILMN_1769563	100.3833	0.5376623
ILMN_1673119	123.7624	0.1116883
ILMN_2129015	181.0361	0.01948052
ILMN_1725889	105.8701	0.3467532
ILMN_1775235	107.4204	0.3064935
ILMN_1677951	101.4502	0.4987013
ILMN_1708502	144.1893	0.05064935
ILMN_1705447	143.2102	0.05064935
ILMN_1699172	115.6301	0.1727273
ILMN_2409898	96.69614	0.7519481
ILMN_2295698	109.6176	0.2623377
ILMN_2066124	157.3497	0.03896104
ILMN_1777797	95.06023	0.8402597
ILMN_2095653	114.5565	0.187013
ILMN_1707551	119.3137	0.1376623
ILMN_1782204	95.53493	0.8207792
ILMN_2402766	243.3971	0.005194805
ILMN_1767722	123.9324	0.1103896
ILMN_2342841	200.3099	0.01168831
ILMN_1802631	135.6817	0.06493507
ILMN_2318481	91.40955	0.9649351
ILMN_2245223	111.13	0.2337662
ILMN_3238543	92.24672	0.9493507
ILMN_1735591	149.4255	0.04675325
ILMN_2362126	135.6499	0.06493507
ILMN_2269136	151.4743	0.04285714
ILMN_3239130	165.7775	0.03246753
ILMN_2120103	95.09525	0.8350649
ILMN_3242883	202.2933	0.01038961
ILMN_2100055	104.721	0.3831169
ILMN_1887648	102.6539	0.448052
ILMN_1688627	99.34215	0.5948052
ILMN_1672767	95.98972	0.8012987
ILMN_2196642	108.788	0.2779221
ILMN_2308689	137.6267	0.06103896
ILMN_2290776	122.3304	0.1207792
ILMN_1777182	138.4218	0.05974026
ILMN_1729777	101.2578	0.5051948
ILMN_1690829	117.3372	0.1558442
ILMN_2257015	134.9941	0.06493507
ILMN_3181215	138.7345	0.05974026
ILMN_3260345	179.6363	0.01948052
ILMN_1703228	96.85446	0.7376623
ILMN_1652023	125.4326	0.1012987
ILMN_2064917	233.2025	0.005194805
ILMN_1776153	107.3152	0.3077922
ILMN_1772645	157.5315	0.03896104
ILMN_1775082	104.883	0.3766234
ILMN_1680343	119.4055	0.1363636
ILMN_2277492	115.7121	0.1727273
ILMN_2371825	160.1164	0.03766234
ILMN_1717468	105.3525	0.361039
ILMN_2274377	96.75989	0.7454545
ILMN_1750235	96.047	0.7987013
ILMN_1664006	111.7969	0.2233766
ILMN_1707169	133.658	0.07012987
ILMN_1779109	92.74788	0.9402598
ILMN_1697790	99.01552	0.6103896
ILMN_1679520	180.5397	0.01948052
ILMN_1732176	147.2317	0.04805195
ILMN_1681081	154.7747	0.04025974
ILMN_2377430	176.3546	0.02337662
ILMN_1661373	100.2741	0.5428572
ILMN_2288175	99.71174	0.5714286
ILMN_1654010	184.8866	0.01818182
ILMN_1732672	100.8499	0.5220779
ILMN_1730504	151.2649	0.04285714
ILMN_1662049	143.6188	0.05064935
ILMN_1740752	116.4354	0.1662338
ILMN_1794875	588.0571	0
ILMN_1698209	137.6346	0.06103896
ILMN_3307841	98.63574	0.6363636
ILMN_1814151	96.90532	0.7350649
ILMN_2050246	100.2245	0.5441558
ILMN_1728787	180.8734	0.01948052
ILMN_2234605	95.21769	0.8324676
ILMN_1770454	140.8095	0.05714286
ILMN_1770336	93.7914	0.9012987
ILMN_1714253	114.7152	0.1857143
ILMN_1813530	151.9877	0.04155844
ILMN_2223922	189.1526	0.01558442
ILMN_1718071	801.0274	0
ILMN_1814327	97.4353	0.7064935
ILMN_2341343	105.8443	0.3480519
ILMN_1775634	96.0908	0.7974026
ILMN_1802458	236.5278	0.005194805
ILMN_2307656	242.7559	0.005194805
ILMN_1709796	125.0455	0.1038961
ILMN_1783963	102.6236	0.448052
